,date,rank,song,artist,last-week,peak-rank,weeks-on-board;
317487,1960-12-26,1.0,Are You Lonesome To-night?,Elvis Presley With The Jordanaires,1.0,1.0,7;
317488,1960-12-26,2.0,Wonderland By Night,Bert Kaempfert And His Orchestra,3.0,2.0,7;
317489,1960-12-26,3.0,Last Date,Floyd Cramer,2.0,2.0,12;
317490,1960-12-26,4.0,A Thousand Stars,Kathy Young With The Innocents,7.0,3.0,10;
317491,1960-12-26,5.0,Exodus,Ferrante & Teicher,6.0,5.0,7;
317492,1960-12-26,6.0,North To Alaska,Johnny Horton,4.0,4.0,15;
317493,1960-12-26,7.0,Many Tears Ago,Connie Francis,8.0,7.0,8;
317494,1960-12-26,8.0,You're Sixteen,Johnny Burnette,9.0,8.0,9;
317495,1960-12-26,9.0,Sailor (Your Home Is The Sea),Lolita,5.0,5.0,10;
317496,"1960-12-26,10,""Corinna, Corinna"",Ray Peterson,27,10,6;",,,,,,
317497,1960-12-26,11.0,He Will Break Your Heart,Jerry Butler,10.0,7.0,9;
317498,1960-12-26,12.0,Lonely Teenager,Dion,12.0,12.0,11;
317499,1960-12-26,13.0,Angel Baby,Rosie And The Originals,23.0,13.0,3;
317500,1960-12-26,14.0,Rockin' Around The Christmas Tree,Brenda Lee,26.0,14.0,3;
317501,1960-12-26,15.0,Perfidia,The Ventures,17.0,15.0,9;
317502,1960-12-26,16.0,Rubber Ball,Bobby Vee,15.0,15.0,5;
317503,1960-12-26,17.0,Wonderland By Night,Louis Prima,20.0,17.0,7;
317504,1960-12-26,18.0,Poetry In Motion,Johnny Tillotson,11.0,2.0,12;
317505,1960-12-26,19.0,New Orleans,U.S. Bonds,18.0,6.0,11;
317506,1960-12-26,20.0,Will You Love Me Tomorrow,The Shirelles,22.0,20.0,6;
317507,1960-12-26,21.0,Rudolph The Red Nosed Reindeer,David Seville And The Chipmunks,62.0,21.0,2;
317508,1960-12-26,22.0,My Girl Josephine,Fats Domino,19.0,14.0,10;
317509,1960-12-26,23.0,Sway,Bobby Rydell,14.0,14.0,8;
317510,1960-12-26,24.0,The Little Drummer Boy,The Harry Simeone Chorale,28.0,13.0,19;
317511,1960-12-26,25.0,Blue Tango,Bill Black's Combo,16.0,16.0,5;
317512,1960-12-26,26.0,White Christmas,Bing Crosby,32.0,26.0,6;
317513,1960-12-26,27.0,Wonderland By Night,Anita Bryant,47.0,27.0,4;
317514,1960-12-26,28.0,Alone At Last,Jackie Wilson,21.0,8.0,12;
317515,1960-12-26,29.0,Fools Rush In (Where Angels Fear To Tread),Brook Benton,33.0,24.0,7;
317516,1960-12-26,30.0,Stay,Maurice Williams & The Zodiacs,13.0,1.0,13;
317517,1960-12-26,31.0,Doll House,Donnie Brooks,41.0,31.0,5;
317518,1960-12-26,32.0,Ruby,Ray Charles,36.0,32.0,6;
317519,"1960-12-26,33,""Let's Go, Let's Go, Let's Go"",Hank Ballard And The Midnighters,25,6,15;",,,,,,
317520,1960-12-26,34.0,Sad Mood,Sam Cooke,29.0,29.0,4;
317521,1960-12-26,35.0,Wings Of A Dove,Ferlin Husky,42.0,35.0,5;
317522,1960-12-26,36.0,Jingle Bell Rock,Bobby Helms,46.0,35.0,7;
317523,1960-12-26,37.0,I'll Save The Last Dance For You,Damita Jo,31.0,22.0,10;
317524,1960-12-26,38.0,Ballad Of The Alamo,Marty Robbins,34.0,34.0,11;
317525,1960-12-26,39.0,I Gotta Know,Elvis Presley With The Jordanaires,30.0,20.0,7;
317526,1960-12-26,40.0,The Hucklebuck,Chubby Checker,38.0,14.0,12;
317527,1960-12-26,41.0,Last Date,Lawrence Welk And His Orchestra,24.0,21.0,7;
317528,1960-12-26,42.0,Calcutta,Lawrence Welk And His Orchestra,65.0,42.0,3;
317529,1960-12-26,43.0,Am I Losing You,Jim Reeves,39.0,31.0,10;
317530,1960-12-26,44.0,Save The Last Dance For Me,The Drifters,35.0,1.0,17;
317531,"1960-12-26,45,""Adeste Fideles (Oh, Come, All Ye Faithful)"",Bing Crosby,58,45,3;",,,,,,
317532,1960-12-26,46.0,Ol' Mac Donald,Frank Sinatra,66.0,25.0,8;
317533,1960-12-26,47.0,Like Strangers,The Everly Brothers,37.0,22.0,9;
317534,1960-12-26,48.0,Gee Whiz,The Innocents,54.0,48.0,6;
317535,1960-12-26,49.0,Once In Awhile,The Chimes,44.0,44.0,9;
317536,1960-12-26,50.0,A Perfect Love,Frankie Avalon,75.0,50.0,3;
317537,1960-12-26,51.0,I'm Hurtin',Roy Orbison,57.0,51.0,3;
317538,1960-12-26,52.0,Gonzo,James Booker,51.0,43.0,8;
317539,"1960-12-26,53,Shop Around,""The Miracles (featuring Bill """"Smokey"""" Robinson)"",59,53,3;",,,,,,
317540,1960-12-26,54.0,Silent Night,Bing Crosby,64.0,54.0,2;
317541,1960-12-26,55.0,I Count The Tears,The Drifters,77.0,55.0,2;
317542,1960-12-26,56.0,Dance By The Light Of The Moon,The Olympics,69.0,56.0,4;
317543,1960-12-26,57.0,Calendar Girl,Neil Sedaka,100.0,57.0,2;
317544,1960-12-26,58.0,Christmas Auld Lang Syne,Bobby Darin,89.0,58.0,2;
317545,1960-12-26,59.0,Bumble Bee,LaVern Baker,61.0,59.0,7;
317546,1960-12-26,60.0,The Chipmunk Song (Christmas Don't Be Late),David Seville And The Chipmunks,45.0,41.0,8;
317547,1960-12-26,61.0,Twistin' Bells,Santo & Johnny,78.0,61.0,2;
317548,1960-12-26,62.0,Baby Oh Baby,The Shells,93.0,62.0,2;
317549,1960-12-26,63.0,You Are The Only One,Ricky Nelson,,63.0,1;
317550,1960-12-26,64.0,Am I The Man,Jackie Wilson,53.0,32.0,10;
317551,1960-12-26,65.0,Natural Born Lover,Fats Domino,40.0,38.0,9;
317552,1960-12-26,66.0,Your Other Love,The Flamingos,82.0,66.0,2;
317553,1960-12-26,67.0,The Magnificent Seven,Al Caiola And His Orchestra,60.0,60.0,4;
317554,1960-12-26,68.0,My Last Date (With You),Skeeter Davis,79.0,68.0,3;
317555,1960-12-26,69.0,The Puppet Song,Frankie Avalon,81.0,69.0,3;
317556,1960-12-26,70.0,Main Theme from Exodus (Ari's Theme),Mantovani & His Orch.,50.0,45.0,6;
317557,1960-12-26,71.0,Rudolph The Red Nosed Reindeer,The Melodeers,74.0,71.0,2;
317558,1960-12-26,72.0,The Hoochi Coochi Coo,Hank Ballard And The Midnighters,43.0,43.0,4;
317559,1960-12-26,73.0,Rambling,The Ramblers,73.0,73.0,4;
317560,1960-12-26,74.0,Gloria's Theme,Adam Wade,76.0,74.0,6;
317561,1960-12-26,75.0,How To Handle A Woman,Johnny Mathis,,75.0,1;
317562,1960-12-26,76.0,Send Me The Pillow You Dream On,The Browns Featuring Jim Edward Brown,56.0,56.0,7;
317563,1960-12-26,77.0,Mister Livingston,Larry Verne,99.0,77.0,2;
317564,1960-12-26,78.0,Ramona,The Blue Diamonds,72.0,72.0,5;
317565,1960-12-26,79.0,You Don't Want My Love,Andy Williams,85.0,79.0,3;
317566,1960-12-26,80.0,(Let's Do) The Hully Gully Twist,Bill Doggett,,80.0,1;
317567,1960-12-26,81.0,Walk Slow,Little Willie John,48.0,48.0,5;
317568,1960-12-26,82.0,Cherry Pink And Apple Blossom White,Jerry Murad's Harmonicats,,82.0,1;
317569,1960-12-26,83.0,My Last Date (With You),Joni James,90.0,83.0,2;
317570,1960-12-26,84.0,Have You Ever Been Lonely (Have You Ever Been Blue),Teresa Brewer,84.0,84.0,5;
317571,1960-12-26,85.0,The Age For Love,Jimmy Charles,86.0,85.0,4;
317572,1960-12-26,86.0,Happy Days,Marv Johnson,88.0,86.0,3;
317573,1960-12-26,87.0,Utopia,Frank Gari,91.0,87.0,2;
317574,1960-12-26,88.0,Pepe,Duane Eddy His Twangy Guitar And The Rebels,95.0,88.0,2;
317575,1960-12-26,89.0,Lovey Dovey,Buddy Knox,98.0,89.0,2;
317576,1960-12-26,90.0,I Idolize You,Ike & Tina Turner,92.0,90.0,3;
317577,1960-12-26,91.0,Wabash Blues,The Viscounts,94.0,91.0,4;
317578,1960-12-26,92.0,Talk To Me Baby,Annette With The Afterbeats,,92.0,1;
317579,1960-12-26,93.0,Someday You'll Want Me To Want You,Brook Benton,,93.0,1;
317580,1960-12-26,94.0,Angel On My Shoulder,Shelby Flint,,94.0,1;
317581,1960-12-26,95.0,Child Of God,Bobby Darin,,95.0,1;
317582,1960-12-26,96.0,We Have Love,Dinah Washington,,96.0,1;
317583,1960-12-26,97.0,Make Someone Happy,Perry Como,,97.0,1;
317584,1960-12-26,98.0,There She Goes,Jerry Wallace,,98.0,1;
317585,"1960-12-26,99,""Oh, How I Miss You Tonight"",Jeanne Black,,99,1;",,,,,,
317586,1960-12-26,100.0,Spoonful,Etta & Harvey,,100.0,1;
317587,1960-12-19,1.0,Are You Lonesome To-night?,Elvis Presley With The Jordanaires,1.0,1.0,6;
317588,1960-12-19,2.0,Last Date,Floyd Cramer,2.0,2.0,11;
317589,1960-12-19,3.0,Wonderland By Night,Bert Kaempfert And His Orchestra,4.0,3.0,6;
317590,1960-12-19,4.0,North To Alaska,Johnny Horton,5.0,4.0,14;
317591,1960-12-19,5.0,Sailor (Your Home Is The Sea),Lolita,6.0,5.0,9;
317592,1960-12-19,6.0,Exodus,Ferrante & Teicher,10.0,6.0,6;
317593,1960-12-19,7.0,A Thousand Stars,Kathy Young With The Innocents,3.0,3.0,9;
317594,1960-12-19,8.0,Many Tears Ago,Connie Francis,8.0,8.0,7;
317595,1960-12-19,9.0,You're Sixteen,Johnny Burnette,12.0,9.0,8;
317596,1960-12-19,10.0,He Will Break Your Heart,Jerry Butler,7.0,7.0,8;
317597,1960-12-19,11.0,Poetry In Motion,Johnny Tillotson,9.0,2.0,11;
317598,1960-12-19,12.0,Lonely Teenager,Dion,18.0,12.0,10;
317599,1960-12-19,13.0,Stay,Maurice Williams & The Zodiacs,11.0,1.0,12;
317600,1960-12-19,14.0,Sway,Bobby Rydell,14.0,14.0,7;
317601,1960-12-19,15.0,Rubber Ball,Bobby Vee,23.0,15.0,4;
317602,1960-12-19,16.0,Blue Tango,Bill Black's Combo,22.0,16.0,4;
317603,1960-12-19,17.0,Perfidia,The Ventures,19.0,17.0,8;
317604,1960-12-19,18.0,New Orleans,U.S. Bonds,13.0,6.0,10;
317605,1960-12-19,19.0,My Girl Josephine,Fats Domino,17.0,14.0,9;
317606,1960-12-19,20.0,Wonderland By Night,Louis Prima,25.0,20.0,6;
317607,1960-12-19,21.0,Alone At Last,Jackie Wilson,16.0,8.0,11;
317608,1960-12-19,22.0,Will You Love Me Tomorrow,The Shirelles,33.0,22.0,5;
317609,1960-12-19,23.0,Angel Baby,Rosie And The Originals,40.0,23.0,2;
317610,1960-12-19,24.0,Last Date,Lawrence Welk And His Orchestra,21.0,21.0,6;
317611,"1960-12-19,25,""Let's Go, Let's Go, Let's Go"",Hank Ballard And The Midnighters,15,6,14;",,,,,,
317612,1960-12-19,26.0,Rockin' Around The Christmas Tree,Brenda Lee,64.0,26.0,2;
317613,"1960-12-19,27,""Corinna, Corinna"",Ray Peterson,42,27,5;",,,,,,
317614,1960-12-19,28.0,The Little Drummer Boy,The Harry Simeone Chorale,53.0,13.0,18;
317615,1960-12-19,29.0,Sad Mood,Sam Cooke,51.0,29.0,3;
317616,1960-12-19,30.0,I Gotta Know,Elvis Presley With The Jordanaires,20.0,20.0,6;
317617,1960-12-19,31.0,I'll Save The Last Dance For You,Damita Jo,27.0,22.0,9;
317618,1960-12-19,32.0,White Christmas,Bing Crosby,55.0,32.0,5;
317619,1960-12-19,33.0,Fools Rush In (Where Angels Fear To Tread),Brook Benton,26.0,24.0,6;
317620,1960-12-19,34.0,Ballad Of The Alamo,Marty Robbins,34.0,34.0,10;
317621,1960-12-19,35.0,Save The Last Dance For Me,The Drifters,29.0,1.0,16;
