,date,rank,song,artist,last-week,peak-rank,weeks-on-board;
155800,1991-12-28,1.0,Black Or White,Michael Jackson,1.0,1.0,6;
155801,1991-12-28,2.0,It's So Hard To Say Goodbye To Yesterday,Boyz II Men,2.0,2.0,15;
155802,1991-12-28,3.0,All 4 Love,Color Me Badd,3.0,3.0,8;
155803,1991-12-28,4.0,Set Adrift On Memory Bliss,P.M. Dawn,4.0,1.0,11;
155804,1991-12-28,5.0,When A Man Loves A Woman,Michael Bolton,5.0,1.0,12;
155805,1991-12-28,6.0,Can't Let Go,Mariah Carey,6.0,6.0,7;
155806,1991-12-28,7.0,Blowing Kisses In The Wind,Paula Abdul,7.0,6.0,11;
155807,1991-12-28,8.0,Finally,CeCe Peniston,8.0,8.0,14;
155808,1991-12-28,9.0,2 Legit 2 Quit,M.C. Hammer,9.0,9.0,8;
155809,1991-12-28,10.0,Wildside,Marky Mark & The Funky Bunch,10.0,10.0,8;
155810,1991-12-28,11.0,That's What Love Is For,Amy Grant,11.0,7.0,14;
155811,1991-12-28,12.0,Keep Coming Back,Richard Marx,12.0,12.0,9;
155812,1991-12-28,13.0,No Son Of Mine,Genesis,13.0,13.0,9;
155813,1991-12-28,14.0,Cream,Prince And The N.P.G.,14.0,1.0,14;
155814,1991-12-28,15.0,O.P.P.,Naughty By Nature,15.0,6.0,17;
155815,1991-12-28,16.0,Let's Talk About Sex,Salt-N-Pepa,16.0,13.0,19;
155816,1991-12-28,17.0,Smells Like Teen Spirit,Nirvana,17.0,17.0,4;
155817,1991-12-28,18.0,Don't Cry,Guns N' Roses,18.0,10.0,15;
155818,1991-12-28,19.0,Don't Let The Sun Go Down On Me,George Michael/Elton John,19.0,19.0,4;
155819,1991-12-28,20.0,Addams Groove,M.C. Hammer,20.0,20.0,4;
155820,1991-12-28,21.0,Can't Stop This Thing We Started,Bryan Adams,21.0,2.0,16;
155821,1991-12-28,22.0,Live For Loving You,Gloria Estefan,22.0,22.0,12;
155822,1991-12-28,23.0,Set The Night To Music,Roberta Flack With Maxi Priest,23.0,6.0,15;
155823,1991-12-28,24.0,Broken Arrow,Rod Stewart,24.0,24.0,11;
155824,1991-12-28,25.0,I Love Your Smile,Shanice,25.0,25.0,6;
155825,1991-12-28,26.0,Mysterious Ways,U2,26.0,26.0,6;
155826,1991-12-28,27.0,Do Anything,Natural Selection,27.0,2.0,21;
155827,1991-12-28,28.0,Forever My Lady,Jodeci,28.0,25.0,10;
155828,1991-12-28,29.0,Romantic,Karyn White,29.0,1.0,20;
155829,1991-12-28,30.0,Diamonds And Pearls,Prince And The N.P.G.,30.0,30.0,4;
155830,1991-12-28,31.0,Change,Lisa Stansfield,31.0,31.0,9;
155831,1991-12-28,32.0,Tell Me What You Want Me To Do,Tevin Campbell,32.0,32.0,8;
155832,1991-12-28,33.0,Street Of Dreams,Nia Peeples,33.0,12.0,12;
155833,1991-12-28,34.0,Spending My Time,Roxette,34.0,34.0,10;
155834,1991-12-28,35.0,The Way I Feel About You,Karyn White,35.0,35.0,5;
155835,1991-12-28,36.0,Love Me All Up,Stacy Earl,36.0,36.0,7;
155836,1991-12-28,37.0,Emotions,Mariah Carey,37.0,1.0,18;
155837,1991-12-28,38.0,Angel Baby,Angelica,38.0,30.0,11;
155838,1991-12-28,39.0,Mind Playing Tricks On Me,Geto Boys,39.0,30.0,13;
155839,1991-12-28,40.0,Save Up All Your Tears,Cher,40.0,40.0,11;
155840,1991-12-28,41.0,Keep It Comin',Keith Sweat,41.0,41.0,5;
155841,1991-12-28,42.0,Tender Kisses,Tracie Spencer,42.0,42.0,11;
155842,1991-12-28,43.0,Running Back To You,Vanessa Williams,43.0,18.0,21;
155843,1991-12-28,44.0,Home Sweet Home,Motley Crue,44.0,44.0,8;
155844,1991-12-28,45.0,I've Got A Lot To Learn About Love,The Storm,45.0,45.0,10;
155845,1991-12-28,46.0,I Wonder Why,Curtis Stigers,46.0,9.0,17;
155846,1991-12-28,47.0,Enter Sandman,Metallica,47.0,16.0,19;
155847,1991-12-28,48.0,Top Of The World,Van Halen,48.0,27.0,12;
155848,1991-12-28,49.0,Housecall,Shabba Ranks (Featuring Maxi Priest),49.0,37.0,10;
155849,1991-12-28,50.0,Is It Good To You,Heavy D & The Boyz,50.0,50.0,6;
155850,1991-12-28,51.0,Too Blind To See It,Kym Sims,51.0,51.0,7;
155851,1991-12-28,52.0,Ring My Bell,D.J. Jazzy Jeff & The Fresh Prince,52.0,20.0,12;
155852,1991-12-28,53.0,The Unforgiven,Metallica,53.0,53.0,4;
155853,1991-12-28,54.0,Shot Of Poison,Lita Ford,54.0,45.0,9;
