,Region,Country,State,City,Month,Day,Year,AvgTemperature
1231460,South/Central America & Carribean,Argentina,,Buenos Aires,1,1,1995,82.4
1231461,South/Central America & Carribean,Argentina,,Buenos Aires,1,2,1995,75.1
1231462,South/Central America & Carribean,Argentina,,Buenos Aires,1,3,1995,73.7
1231463,South/Central America & Carribean,Argentina,,Buenos Aires,1,4,1995,77.1
1231464,South/Central America & Carribean,Argentina,,Buenos Aires,1,5,1995,79.5
1231465,South/Central America & Carribean,Argentina,,Buenos Aires,1,6,1995,71.3
1231466,South/Central America & Carribean,Argentina,,Buenos Aires,1,7,1995,71.4
1231467,South/Central America & Carribean,Argentina,,Buenos Aires,1,8,1995,75.2
1231468,South/Central America & Carribean,Argentina,,Buenos Aires,1,9,1995,66.3
1231469,South/Central America & Carribean,Argentina,,Buenos Aires,1,10,1995,61.8
1231470,South/Central America & Carribean,Argentina,,Buenos Aires,1,11,1995,67.1
1231471,South/Central America & Carribean,Argentina,,Buenos Aires,1,12,1995,72.0
1231472,South/Central America & Carribean,Argentina,,Buenos Aires,1,13,1995,74.3
1231473,South/Central America & Carribean,Argentina,,Buenos Aires,1,14,1995,78.3
1231474,South/Central America & Carribean,Argentina,,Buenos Aires,1,15,1995,81.9
1231475,South/Central America & Carribean,Argentina,,Buenos Aires,1,16,1995,72.5
1231476,South/Central America & Carribean,Argentina,,Buenos Aires,1,17,1995,65.0
1231477,South/Central America & Carribean,Argentina,,Buenos Aires,1,18,1995,70.5
1231478,South/Central America & Carribean,Argentina,,Buenos Aires,1,19,1995,75.2
1231479,South/Central America & Carribean,Argentina,,Buenos Aires,1,20,1995,74.3
1231480,South/Central America & Carribean,Argentina,,Buenos Aires,1,21,1995,74.3
1231481,South/Central America & Carribean,Argentina,,Buenos Aires,1,22,1995,77.8
1231482,South/Central America & Carribean,Argentina,,Buenos Aires,1,23,1995,80.4
1231483,South/Central America & Carribean,Argentina,,Buenos Aires,1,24,1995,71.7
1231484,South/Central America & Carribean,Argentina,,Buenos Aires,1,25,1995,71.3
1231485,South/Central America & Carribean,Argentina,,Buenos Aires,1,26,1995,75.6
1231486,South/Central America & Carribean,Argentina,,Buenos Aires,1,27,1995,76.3
1231487,South/Central America & Carribean,Argentina,,Buenos Aires,1,28,1995,67.6
1231488,South/Central America & Carribean,Argentina,,Buenos Aires,1,29,1995,67.2
1231489,South/Central America & Carribean,Argentina,,Buenos Aires,1,30,1995,69.3
1231490,South/Central America & Carribean,Argentina,,Buenos Aires,1,31,1995,77.5
1231491,South/Central America & Carribean,Argentina,,Buenos Aires,2,1,1995,67.5
1231492,South/Central America & Carribean,Argentina,,Buenos Aires,2,2,1995,67.7
1231493,South/Central America & Carribean,Argentina,,Buenos Aires,2,3,1995,71.8
1231494,South/Central America & Carribean,Argentina,,Buenos Aires,2,4,1995,66.9
1231495,South/Central America & Carribean,Argentina,,Buenos Aires,2,5,1995,65.3
1231496,South/Central America & Carribean,Argentina,,Buenos Aires,2,6,1995,68.2
1231497,South/Central America & Carribean,Argentina,,Buenos Aires,2,7,1995,74.5
1231498,South/Central America & Carribean,Argentina,,Buenos Aires,2,8,1995,75.3
1231499,South/Central America & Carribean,Argentina,,Buenos Aires,2,9,1995,77.2
1231500,South/Central America & Carribean,Argentina,,Buenos Aires,2,10,1995,72.4
1231501,South/Central America & Carribean,Argentina,,Buenos Aires,2,11,1995,74.0
1231502,South/Central America & Carribean,Argentina,,Buenos Aires,2,12,1995,75.0
1231503,South/Central America & Carribean,Argentina,,Buenos Aires,2,13,1995,77.1
1231504,South/Central America & Carribean,Argentina,,Buenos Aires,2,14,1995,75.5
1231505,South/Central America & Carribean,Argentina,,Buenos Aires,2,15,1995,73.2
1231506,South/Central America & Carribean,Argentina,,Buenos Aires,2,16,1995,73.6
1231507,South/Central America & Carribean,Argentina,,Buenos Aires,2,17,1995,68.3
1231508,South/Central America & Carribean,Argentina,,Buenos Aires,2,18,1995,60.4
1231509,South/Central America & Carribean,Argentina,,Buenos Aires,2,19,1995,70.9
1231510,South/Central America & Carribean,Argentina,,Buenos Aires,2,20,1995,79.3
1231511,South/Central America & Carribean,Argentina,,Buenos Aires,2,21,1995,76.4
1231512,South/Central America & Carribean,Argentina,,Buenos Aires,2,22,1995,65.5
1231513,South/Central America & Carribean,Argentina,,Buenos Aires,2,23,1995,64.6
1231514,South/Central America & Carribean,Argentina,,Buenos Aires,2,24,1995,68.8
1231515,South/Central America & Carribean,Argentina,,Buenos Aires,2,25,1995,68.0
1231516,South/Central America & Carribean,Argentina,,Buenos Aires,2,26,1995,71.0
1231517,South/Central America & Carribean,Argentina,,Buenos Aires,2,27,1995,75.0
1231518,South/Central America & Carribean,Argentina,,Buenos Aires,2,28,1995,69.7
1231519,South/Central America & Carribean,Argentina,,Buenos Aires,3,1,1995,68.8
1231520,South/Central America & Carribean,Argentina,,Buenos Aires,3,2,1995,71.2
1231521,South/Central America & Carribean,Argentina,,Buenos Aires,3,3,1995,74.5
