,Region,Country,State,City,Month,Day,Year,AvgTemperature
567781,Australia/South Pacific,Australia,,Brisbane,1,1,1995,76.1
567782,Australia/South Pacific,Australia,,Brisbane,1,2,1995,78.3
567783,Australia/South Pacific,Australia,,Brisbane,1,3,1995,78.6
567784,Australia/South Pacific,Australia,,Brisbane,1,4,1995,78.6
567785,Australia/South Pacific,Australia,,Brisbane,1,5,1995,78.3
567786,Australia/South Pacific,Australia,,Brisbane,1,6,1995,78.1
567787,Australia/South Pacific,Australia,,Brisbane,1,7,1995,77.9
567788,Australia/South Pacific,Australia,,Brisbane,1,8,1995,75.6
567789,Australia/South Pacific,Australia,,Brisbane,1,9,1995,75.2
567790,Australia/South Pacific,Australia,,Brisbane,1,10,1995,75.3
567791,Australia/South Pacific,Australia,,Brisbane,1,11,1995,75.2
567792,Australia/South Pacific,Australia,,Brisbane,1,12,1995,73.3
567793,Australia/South Pacific,Australia,,Brisbane,1,13,1995,73.4
567794,Australia/South Pacific,Australia,,Brisbane,1,14,1995,75.7
567795,Australia/South Pacific,Australia,,Brisbane,1,15,1995,75.2
567796,Australia/South Pacific,Australia,,Brisbane,1,16,1995,76.1
567797,Australia/South Pacific,Australia,,Brisbane,1,17,1995,77.8
567798,Australia/South Pacific,Australia,,Brisbane,1,18,1995,77.3
567799,Australia/South Pacific,Australia,,Brisbane,1,19,1995,76.0
567800,Australia/South Pacific,Australia,,Brisbane,1,20,1995,78.6
567801,Australia/South Pacific,Australia,,Brisbane,1,21,1995,78.2
567802,Australia/South Pacific,Australia,,Brisbane,1,22,1995,71.4
567803,Australia/South Pacific,Australia,,Brisbane,1,23,1995,72.2
567804,Australia/South Pacific,Australia,,Brisbane,1,24,1995,76.2
567805,Australia/South Pacific,Australia,,Brisbane,1,25,1995,76.9
567806,Australia/South Pacific,Australia,,Brisbane,1,26,1995,75.0
567807,Australia/South Pacific,Australia,,Brisbane,1,27,1995,75.9
567808,Australia/South Pacific,Australia,,Brisbane,1,28,1995,74.8
567809,Australia/South Pacific,Australia,,Brisbane,1,29,1995,77.1
567810,Australia/South Pacific,Australia,,Brisbane,1,30,1995,81.4
567811,Australia/South Pacific,Australia,,Brisbane,1,31,1995,81.5
567812,Australia/South Pacific,Australia,,Brisbane,2,1,1995,75.2
567813,Australia/South Pacific,Australia,,Brisbane,2,2,1995,75.7
567814,Australia/South Pacific,Australia,,Brisbane,2,3,1995,80.9
567815,Australia/South Pacific,Australia,,Brisbane,2,4,1995,81.4
567816,Australia/South Pacific,Australia,,Brisbane,2,5,1995,80.8
567817,Australia/South Pacific,Australia,,Brisbane,2,6,1995,78.5
567818,Australia/South Pacific,Australia,,Brisbane,2,7,1995,75.1
567819,Australia/South Pacific,Australia,,Brisbane,2,8,1995,74.4
567820,Australia/South Pacific,Australia,,Brisbane,2,9,1995,74.2
567821,Australia/South Pacific,Australia,,Brisbane,2,10,1995,73.5
567822,Australia/South Pacific,Australia,,Brisbane,2,11,1995,71.1
567823,Australia/South Pacific,Australia,,Brisbane,2,12,1995,70.9
567824,Australia/South Pacific,Australia,,Brisbane,2,13,1995,73.2
567825,Australia/South Pacific,Australia,,Brisbane,2,14,1995,70.7
567826,Australia/South Pacific,Australia,,Brisbane,2,15,1995,74.0
567827,Australia/South Pacific,Australia,,Brisbane,2,16,1995,76.9
567828,Australia/South Pacific,Australia,,Brisbane,2,17,1995,78.5
567829,Australia/South Pacific,Australia,,Brisbane,2,18,1995,75.0
567830,Australia/South Pacific,Australia,,Brisbane,2,19,1995,73.4
567831,Australia/South Pacific,Australia,,Brisbane,2,20,1995,75.9
567832,Australia/South Pacific,Australia,,Brisbane,2,21,1995,74.1
567833,Australia/South Pacific,Australia,,Brisbane,2,22,1995,74.7
567834,Australia/South Pacific,Australia,,Brisbane,2,23,1995,75.8
567835,Australia/South Pacific,Australia,,Brisbane,2,24,1995,72.3
567836,Australia/South Pacific,Australia,,Brisbane,2,25,1995,71.5
567837,Australia/South Pacific,Australia,,Brisbane,2,26,1995,71.5
567838,Australia/South Pacific,Australia,,Brisbane,2,27,1995,73.5
567839,Australia/South Pacific,Australia,,Brisbane,2,28,1995,73.5
567840,Australia/South Pacific,Australia,,Brisbane,3,1,1995,76.0
567841,Australia/South Pacific,Australia,,Brisbane,3,2,1995,75.5
567842,Australia/South Pacific,Australia,,Brisbane,3,3,1995,73.8
567843,Australia/South Pacific,Australia,,Brisbane,3,4,1995,74.2
567844,Australia/South Pacific,Australia,,Brisbane,3,5,1995,75.9
567845,Australia/South Pacific,Australia,,Brisbane,3,6,1995,78.7
567846,Australia/South Pacific,Australia,,Brisbane,3,7,1995,79.8
567847,Australia/South Pacific,Australia,,Brisbane,3,8,1995,82.3
567848,Australia/South Pacific,Australia,,Brisbane,3,9,1995,81.6
567849,Australia/South Pacific,Australia,,Brisbane,3,10,1995,72.8
567850,Australia/South Pacific,Australia,,Brisbane,3,11,1995,70.3
567851,Australia/South Pacific,Australia,,Brisbane,3,12,1995,70.6
567852,Australia/South Pacific,Australia,,Brisbane,3,13,1995,73.4
567853,Australia/South Pacific,Australia,,Brisbane,3,14,1995,69.1
567854,Australia/South Pacific,Australia,,Brisbane,3,15,1995,73.7
567855,Australia/South Pacific,Australia,,Brisbane,3,16,1995,71.7
567856,Australia/South Pacific,Australia,,Brisbane,3,17,1995,70.4
567857,Australia/South Pacific,Australia,,Brisbane,3,18,1995,73.5
567858,Australia/South Pacific,Australia,,Brisbane,3,19,1995,72.5
567859,Australia/South Pacific,Australia,,Brisbane,3,20,1995,73.7
567860,Australia/South Pacific,Australia,,Brisbane,3,21,1995,69.8
567861,Australia/South Pacific,Australia,,Brisbane,3,22,1995,71.9
567862,Australia/South Pacific,Australia,,Brisbane,3,23,1995,73.6
567863,Australia/South Pacific,Australia,,Brisbane,3,24,1995,74.2
567864,Australia/South Pacific,Australia,,Brisbane,3,25,1995,77.4
567865,Australia/South Pacific,Australia,,Brisbane,3,26,1995,69.8
567866,Australia/South Pacific,Australia,,Brisbane,3,27,1995,71.4
567867,Australia/South Pacific,Australia,,Brisbane,3,28,1995,72.8
567868,Australia/South Pacific,Australia,,Brisbane,3,29,1995,71.7
567869,Australia/South Pacific,Australia,,Brisbane,3,30,1995,69.5
567870,Australia/South Pacific,Australia,,Brisbane,3,31,1995,70.3
567871,Australia/South Pacific,Australia,,Brisbane,4,1,1995,74.2
567872,Australia/South Pacific,Australia,,Brisbane,4,2,1995,72.2
567873,Australia/South Pacific,Australia,,Brisbane,4,3,1995,71.1
567874,Australia/South Pacific,Australia,,Brisbane,4,4,1995,71.4
567875,Australia/South Pacific,Australia,,Brisbane,4,5,1995,69.8
567876,Australia/South Pacific,Australia,,Brisbane,4,6,1995,71.3
567877,Australia/South Pacific,Australia,,Brisbane,4,7,1995,66.3
567878,Australia/South Pacific,Australia,,Brisbane,4,8,1995,65.7
567879,Australia/South Pacific,Australia,,Brisbane,4,9,1995,66.4
567880,Australia/South Pacific,Australia,,Brisbane,4,10,1995,65.6
567881,Australia/South Pacific,Australia,,Brisbane,4,11,1995,64.4
567882,Australia/South Pacific,Australia,,Brisbane,4,12,1995,67.5
567883,Australia/South Pacific,Australia,,Brisbane,4,13,1995,68.3
567884,Australia/South Pacific,Australia,,Brisbane,4,14,1995,65.0
567885,Australia/South Pacific,Australia,,Brisbane,4,15,1995,66.6
567886,Australia/South Pacific,Australia,,Brisbane,4,16,1995,68.2
567887,Australia/South Pacific,Australia,,Brisbane,4,17,1995,70.4
567888,Australia/South Pacific,Australia,,Brisbane,4,18,1995,69.5
567889,Australia/South Pacific,Australia,,Brisbane,4,19,1995,69.9
567890,Australia/South Pacific,Australia,,Brisbane,4,20,1995,69.8
567891,Australia/South Pacific,Australia,,Brisbane,4,21,1995,71.6
567892,Australia/South Pacific,Australia,,Brisbane,4,22,1995,69.0
567893,Australia/South Pacific,Australia,,Brisbane,4,23,1995,68.7
567894,Australia/South Pacific,Australia,,Brisbane,4,24,1995,67.5
567895,Australia/South Pacific,Australia,,Brisbane,4,25,1995,70.8
567896,Australia/South Pacific,Australia,,Brisbane,4,26,1995,66.3
567897,Australia/South Pacific,Australia,,Brisbane,4,27,1995,67.9
567898,Australia/South Pacific,Australia,,Brisbane,4,28,1995,68.6
567899,Australia/South Pacific,Australia,,Brisbane,4,29,1995,69.3
567900,Australia/South Pacific,Australia,,Brisbane,4,30,1995,64.9
567901,Australia/South Pacific,Australia,,Brisbane,5,1,1995,68.4
567902,Australia/South Pacific,Australia,,Brisbane,5,2,1995,65.6
567903,Australia/South Pacific,Australia,,Brisbane,5,3,1995,70.5
567904,Australia/South Pacific,Australia,,Brisbane,5,4,1995,59.4
567905,Australia/South Pacific,Australia,,Brisbane,5,5,1995,63.9
567906,Australia/South Pacific,Australia,,Brisbane,5,6,1995,63.9
567907,Australia/South Pacific,Australia,,Brisbane,5,7,1995,65.8
567908,Australia/South Pacific,Australia,,Brisbane,5,8,1995,65.5
567909,Australia/South Pacific,Australia,,Brisbane,5,9,1995,65.7
567910,Australia/South Pacific,Australia,,Brisbane,5,10,1995,63.9
567911,Australia/South Pacific,Australia,,Brisbane,5,11,1995,65.3
567912,Australia/South Pacific,Australia,,Brisbane,5,12,1995,66.1
567913,Australia/South Pacific,Australia,,Brisbane,5,13,1995,66.3
567914,Australia/South Pacific,Australia,,Brisbane,5,14,1995,70.0
567915,Australia/South Pacific,Australia,,Brisbane,5,15,1995,70.1
567916,Australia/South Pacific,Australia,,Brisbane,5,16,1995,67.3
567917,Australia/South Pacific,Australia,,Brisbane,5,17,1995,67.2
567918,Australia/South Pacific,Australia,,Brisbane,5,18,1995,68.1
567919,Australia/South Pacific,Australia,,Brisbane,5,19,1995,61.1
567920,Australia/South Pacific,Australia,,Brisbane,5,20,1995,66.6
567921,Australia/South Pacific,Australia,,Brisbane,5,21,1995,63.6
567922,Australia/South Pacific,Australia,,Brisbane,5,22,1995,63.2
567923,Australia/South Pacific,Australia,,Brisbane,5,23,1995,65.3
567924,Australia/South Pacific,Australia,,Brisbane,5,24,1995,65.9
567925,Australia/South Pacific,Australia,,Brisbane,5,25,1995,62.6
567926,Australia/South Pacific,Australia,,Brisbane,5,26,1995,63.1
567927,Australia/South Pacific,Australia,,Brisbane,5,27,1995,59.0
567928,Australia/South Pacific,Australia,,Brisbane,5,28,1995,59.4
567929,Australia/South Pacific,Australia,,Brisbane,5,29,1995,61.9
567930,Australia/South Pacific,Australia,,Brisbane,5,30,1995,62.3
567931,Australia/South Pacific,Australia,,Brisbane,5,31,1995,61.6
567932,Australia/South Pacific,Australia,,Brisbane,6,1,1995,61.6
567933,Australia/South Pacific,Australia,,Brisbane,6,2,1995,61.6
567934,Australia/South Pacific,Australia,,Brisbane,6,3,1995,63.0
567935,Australia/South Pacific,Australia,,Brisbane,6,4,1995,61.6
567936,Australia/South Pacific,Australia,,Brisbane,6,5,1995,61.5
567937,Australia/South Pacific,Australia,,Brisbane,6,6,1995,62.1
567938,Australia/South Pacific,Australia,,Brisbane,6,7,1995,62.4
567939,Australia/South Pacific,Australia,,Brisbane,6,8,1995,61.1
567940,Australia/South Pacific,Australia,,Brisbane,6,9,1995,60.6
567941,Australia/South Pacific,Australia,,Brisbane,6,10,1995,66.1
567942,Australia/South Pacific,Australia,,Brisbane,6,11,1995,62.7
567943,Australia/South Pacific,Australia,,Brisbane,6,12,1995,57.4
567944,Australia/South Pacific,Australia,,Brisbane,6,13,1995,54.7
567945,Australia/South Pacific,Australia,,Brisbane,6,14,1995,60.2
567946,Australia/South Pacific,Australia,,Brisbane,6,15,1995,58.6
567947,Australia/South Pacific,Australia,,Brisbane,6,16,1995,54.3
567948,Australia/South Pacific,Australia,,Brisbane,6,17,1995,52.7
567949,Australia/South Pacific,Australia,,Brisbane,6,18,1995,49.8
567950,Australia/South Pacific,Australia,,Brisbane,6,19,1995,54.7
567951,Australia/South Pacific,Australia,,Brisbane,6,20,1995,55.3
567952,Australia/South Pacific,Australia,,Brisbane,6,21,1995,57.7
567953,Australia/South Pacific,Australia,,Brisbane,6,22,1995,56.0
567954,Australia/South Pacific,Australia,,Brisbane,6,23,1995,59.0
567955,Australia/South Pacific,Australia,,Brisbane,6,24,1995,59.4
567956,Australia/South Pacific,Australia,,Brisbane,6,25,1995,60.7
567957,Australia/South Pacific,Australia,,Brisbane,6,26,1995,57.1
567958,Australia/South Pacific,Australia,,Brisbane,6,27,1995,59.2
567959,Australia/South Pacific,Australia,,Brisbane,6,28,1995,62.8
567960,Australia/South Pacific,Australia,,Brisbane,6,29,1995,58.5
567961,Australia/South Pacific,Australia,,Brisbane,6,30,1995,53.9
567962,Australia/South Pacific,Australia,,Brisbane,7,1,1995,57.4
567963,Australia/South Pacific,Australia,,Brisbane,7,2,1995,51.2
567964,Australia/South Pacific,Australia,,Brisbane,7,3,1995,54.0
567965,Australia/South Pacific,Australia,,Brisbane,7,4,1995,57.8
567966,Australia/South Pacific,Australia,,Brisbane,7,5,1995,60.5
567967,Australia/South Pacific,Australia,,Brisbane,7,6,1995,56.7
567968,Australia/South Pacific,Australia,,Brisbane,7,7,1995,54.7
567969,Australia/South Pacific,Australia,,Brisbane,7,8,1995,58.1
567970,Australia/South Pacific,Australia,,Brisbane,7,9,1995,58.9
567971,Australia/South Pacific,Australia,,Brisbane,7,10,1995,59.4
567972,Australia/South Pacific,Australia,,Brisbane,7,11,1995,61.6
567973,Australia/South Pacific,Australia,,Brisbane,7,12,1995,58.5
567974,Australia/South Pacific,Australia,,Brisbane,7,13,1995,72.3
567975,Australia/South Pacific,Australia,,Brisbane,7,14,1995,62.9
567976,Australia/South Pacific,Australia,,Brisbane,7,15,1995,55.4
567977,Australia/South Pacific,Australia,,Brisbane,7,16,1995,51.9
567978,Australia/South Pacific,Australia,,Brisbane,7,17,1995,62.8
567979,Australia/South Pacific,Australia,,Brisbane,7,18,1995,60.5
567980,Australia/South Pacific,Australia,,Brisbane,7,19,1995,55.7
567981,Australia/South Pacific,Australia,,Brisbane,7,20,1995,48.7
567982,Australia/South Pacific,Australia,,Brisbane,7,21,1995,53.7
567983,Australia/South Pacific,Australia,,Brisbane,7,22,1995,56.8
567984,Australia/South Pacific,Australia,,Brisbane,7,23,1995,59.8
567985,Australia/South Pacific,Australia,,Brisbane,7,24,1995,56.4
567986,Australia/South Pacific,Australia,,Brisbane,7,25,1995,53.3
567987,Australia/South Pacific,Australia,,Brisbane,7,26,1995,57.2
567988,Australia/South Pacific,Australia,,Brisbane,7,27,1995,61.7
567989,Australia/South Pacific,Australia,,Brisbane,7,28,1995,54.6
567990,Australia/South Pacific,Australia,,Brisbane,7,29,1995,54.3
567991,Australia/South Pacific,Australia,,Brisbane,7,30,1995,50.3
567992,Australia/South Pacific,Australia,,Brisbane,7,31,1995,56.3
567993,Australia/South Pacific,Australia,,Brisbane,8,1,1995,54.4
567994,Australia/South Pacific,Australia,,Brisbane,8,2,1995,55.9
567995,Australia/South Pacific,Australia,,Brisbane,8,3,1995,57.9
567996,Australia/South Pacific,Australia,,Brisbane,8,4,1995,55.7
