,Region,Country,State,City,Month,Day,Year,AvgTemperature
632643,Europe,Austria,,Vienna,1,1,1995,35.7
632644,Europe,Austria,,Vienna,1,2,1995,34.7
632645,Europe,Austria,,Vienna,1,3,1995,31.4
632646,Europe,Austria,,Vienna,1,4,1995,25.2
632647,Europe,Austria,,Vienna,1,5,1995,23.0
632648,Europe,Austria,,Vienna,1,6,1995,24.8
632649,Europe,Austria,,Vienna,1,7,1995,26.8
632650,Europe,Austria,,Vienna,1,8,1995,27.3
632651,Europe,Austria,,Vienna,1,9,1995,26.1
632652,Europe,Austria,,Vienna,1,10,1995,35.1
632653,Europe,Austria,,Vienna,1,11,1995,32.7
632654,Europe,Austria,,Vienna,1,12,1995,33.2
632655,Europe,Austria,,Vienna,1,13,1995,31.5
632656,Europe,Austria,,Vienna,1,14,1995,26.8
632657,Europe,Austria,,Vienna,1,15,1995,29.7
632658,Europe,Austria,,Vienna,1,16,1995,30.2
632659,Europe,Austria,,Vienna,1,17,1995,28.0
632660,Europe,Austria,,Vienna,1,18,1995,24.3
632661,Europe,Austria,,Vienna,1,19,1995,22.8
632662,Europe,Austria,,Vienna,1,20,1995,25.0
632663,Europe,Austria,,Vienna,1,21,1995,24.9
632664,Europe,Austria,,Vienna,1,22,1995,28.4
632665,Europe,Austria,,Vienna,1,23,1995,34.3
632666,Europe,Austria,,Vienna,1,24,1995,40.6
632667,Europe,Austria,,Vienna,1,25,1995,38.7
632668,Europe,Austria,,Vienna,1,26,1995,52.2
632669,Europe,Austria,,Vienna,1,27,1995,40.0
632670,Europe,Austria,,Vienna,1,28,1995,34.3
632671,Europe,Austria,,Vienna,1,29,1995,42.8
632672,Europe,Austria,,Vienna,1,30,1995,42.5
632673,Europe,Austria,,Vienna,1,31,1995,34.9
632674,Europe,Austria,,Vienna,2,1,1995,32.8
632675,Europe,Austria,,Vienna,2,2,1995,35.3
632676,Europe,Austria,,Vienna,2,3,1995,36.4
632677,Europe,Austria,,Vienna,2,4,1995,36.0
632678,Europe,Austria,,Vienna,2,5,1995,44.5
632679,Europe,Austria,,Vienna,2,6,1995,47.6
632680,Europe,Austria,,Vienna,2,7,1995,53.7
632681,Europe,Austria,,Vienna,2,8,1995,47.6
632682,Europe,Austria,,Vienna,2,9,1995,42.6
632683,Europe,Austria,,Vienna,2,10,1995,33.5
632684,Europe,Austria,,Vienna,2,11,1995,33.6
632685,Europe,Austria,,Vienna,2,12,1995,38.9
632686,Europe,Austria,,Vienna,2,13,1995,42.6
632687,Europe,Austria,,Vienna,2,14,1995,46.0
632688,Europe,Austria,,Vienna,2,15,1995,45.9
632689,Europe,Austria,,Vienna,2,16,1995,44.5
632690,Europe,Austria,,Vienna,2,17,1995,47.2
632691,Europe,Austria,,Vienna,2,18,1995,42.1
632692,Europe,Austria,,Vienna,2,19,1995,42.3
632693,Europe,Austria,,Vienna,2,20,1995,50.4
632694,Europe,Austria,,Vienna,2,21,1995,48.9
632695,Europe,Austria,,Vienna,2,22,1995,43.5
632696,Europe,Austria,,Vienna,2,23,1995,40.7
632697,Europe,Austria,,Vienna,2,24,1995,37.1
632698,Europe,Austria,,Vienna,2,25,1995,43.5
632699,Europe,Austria,,Vienna,2,26,1995,43.7
632700,Europe,Austria,,Vienna,2,27,1995,38.9
632701,Europe,Austria,,Vienna,2,28,1995,41.2
632702,Europe,Austria,,Vienna,3,1,1995,41.2
632703,Europe,Austria,,Vienna,3,2,1995,39.1
632704,Europe,Austria,,Vienna,3,3,1995,40.3
632705,Europe,Austria,,Vienna,3,4,1995,37.7
632706,Europe,Austria,,Vienna,3,5,1995,37.4
632707,Europe,Austria,,Vienna,3,6,1995,39.3
632708,Europe,Austria,,Vienna,3,7,1995,40.7
632709,Europe,Austria,,Vienna,3,8,1995,38.8
632710,Europe,Austria,,Vienna,3,9,1995,40.5
632711,Europe,Austria,,Vienna,3,10,1995,41.7
632712,Europe,Austria,,Vienna,3,11,1995,40.0
632713,Europe,Austria,,Vienna,3,12,1995,39.0
632714,Europe,Austria,,Vienna,3,13,1995,38.0
632715,Europe,Austria,,Vienna,3,14,1995,32.4
632716,Europe,Austria,,Vienna,3,15,1995,32.6
632717,Europe,Austria,,Vienna,3,16,1995,31.8
632718,Europe,Austria,,Vienna,3,17,1995,37.2
632719,Europe,Austria,,Vienna,3,18,1995,46.0
632720,Europe,Austria,,Vienna,3,19,1995,47.9
632721,Europe,Austria,,Vienna,3,20,1995,39.5
632722,Europe,Austria,,Vienna,3,21,1995,39.1
632723,Europe,Austria,,Vienna,3,22,1995,38.7
