,Region,Country,State,City,Month,Day,Year,AvgTemperature
1282775,South/Central America & Carribean,Brazil,,Brasilia,1,1,1995,70.9
1282776,South/Central America & Carribean,Brazil,,Brasilia,1,2,1995,71.7
1282777,South/Central America & Carribean,Brazil,,Brasilia,1,3,1995,71.2
1282778,South/Central America & Carribean,Brazil,,Brasilia,1,4,1995,69.2
1282779,South/Central America & Carribean,Brazil,,Brasilia,1,5,1995,68.5
1282780,South/Central America & Carribean,Brazil,,Brasilia,1,6,1995,70.6
1282781,South/Central America & Carribean,Brazil,,Brasilia,1,7,1995,72.6
1282782,South/Central America & Carribean,Brazil,,Brasilia,1,8,1995,74.0
1282783,South/Central America & Carribean,Brazil,,Brasilia,1,9,1995,74.0
1282784,South/Central America & Carribean,Brazil,,Brasilia,1,10,1995,73.7
1282785,South/Central America & Carribean,Brazil,,Brasilia,1,11,1995,74.5
1282786,South/Central America & Carribean,Brazil,,Brasilia,1,12,1995,74.5
1282787,South/Central America & Carribean,Brazil,,Brasilia,1,13,1995,74.0
1282788,South/Central America & Carribean,Brazil,,Brasilia,1,14,1995,74.7
1282789,South/Central America & Carribean,Brazil,,Brasilia,1,15,1995,74.8
1282790,South/Central America & Carribean,Brazil,,Brasilia,1,16,1995,75.9
1282791,South/Central America & Carribean,Brazil,,Brasilia,1,17,1995,77.9
1282792,South/Central America & Carribean,Brazil,,Brasilia,1,18,1995,76.6
1282793,South/Central America & Carribean,Brazil,,Brasilia,1,19,1995,69.7
1282794,South/Central America & Carribean,Brazil,,Brasilia,1,20,1995,69.7
1282795,South/Central America & Carribean,Brazil,,Brasilia,1,21,1995,73.8
1282796,South/Central America & Carribean,Brazil,,Brasilia,1,22,1995,73.4
1282797,South/Central America & Carribean,Brazil,,Brasilia,1,23,1995,72.5
1282798,South/Central America & Carribean,Brazil,,Brasilia,1,24,1995,72.7
1282799,South/Central America & Carribean,Brazil,,Brasilia,1,25,1995,72.4
1282800,South/Central America & Carribean,Brazil,,Brasilia,1,26,1995,71.7
1282801,South/Central America & Carribean,Brazil,,Brasilia,1,27,1995,69.9
1282802,South/Central America & Carribean,Brazil,,Brasilia,1,28,1995,71.9
1282803,South/Central America & Carribean,Brazil,,Brasilia,1,29,1995,72.7
1282804,South/Central America & Carribean,Brazil,,Brasilia,1,30,1995,70.0
1282805,South/Central America & Carribean,Brazil,,Brasilia,1,31,1995,69.8
1282806,South/Central America & Carribean,Brazil,,Brasilia,2,1,1995,70.6
1282807,South/Central America & Carribean,Brazil,,Brasilia,2,2,1995,71.0
1282808,South/Central America & Carribean,Brazil,,Brasilia,2,3,1995,69.6
1282809,South/Central America & Carribean,Brazil,,Brasilia,2,4,1995,71.9
1282810,South/Central America & Carribean,Brazil,,Brasilia,2,5,1995,72.7
1282811,South/Central America & Carribean,Brazil,,Brasilia,2,6,1995,73.1
1282812,South/Central America & Carribean,Brazil,,Brasilia,2,7,1995,74.6
1282813,South/Central America & Carribean,Brazil,,Brasilia,2,8,1995,70.5
1282814,South/Central America & Carribean,Brazil,,Brasilia,2,9,1995,71.5
1282815,South/Central America & Carribean,Brazil,,Brasilia,2,10,1995,70.9
1282816,South/Central America & Carribean,Brazil,,Brasilia,2,11,1995,71.1
1282817,South/Central America & Carribean,Brazil,,Brasilia,2,12,1995,72.1
1282818,South/Central America & Carribean,Brazil,,Brasilia,2,13,1995,74.4
1282819,South/Central America & Carribean,Brazil,,Brasilia,2,14,1995,74.9
1282820,South/Central America & Carribean,Brazil,,Brasilia,2,15,1995,71.9
1282821,South/Central America & Carribean,Brazil,,Brasilia,2,16,1995,73.5
1282822,South/Central America & Carribean,Brazil,,Brasilia,2,17,1995,72.6
1282823,South/Central America & Carribean,Brazil,,Brasilia,2,18,1995,69.1
1282824,South/Central America & Carribean,Brazil,,Brasilia,2,19,1995,72.1
1282825,South/Central America & Carribean,Brazil,,Brasilia,2,20,1995,70.6
1282826,South/Central America & Carribean,Brazil,,Brasilia,2,21,1995,71.1
1282827,South/Central America & Carribean,Brazil,,Brasilia,2,22,1995,74.1
1282828,South/Central America & Carribean,Brazil,,Brasilia,2,23,1995,75.8
1282829,South/Central America & Carribean,Brazil,,Brasilia,2,24,1995,73.8
1282830,South/Central America & Carribean,Brazil,,Brasilia,2,25,1995,76.7
1282831,South/Central America & Carribean,Brazil,,Brasilia,2,26,1995,75.5
1282832,South/Central America & Carribean,Brazil,,Brasilia,2,27,1995,73.9
1282833,South/Central America & Carribean,Brazil,,Brasilia,2,28,1995,70.9
1282834,South/Central America & Carribean,Brazil,,Brasilia,3,1,1995,71.0
1282835,South/Central America & Carribean,Brazil,,Brasilia,3,2,1995,74.6
1282836,South/Central America & Carribean,Brazil,,Brasilia,3,3,1995,75.4
1282837,South/Central America & Carribean,Brazil,,Brasilia,3,4,1995,76.3
1282838,South/Central America & Carribean,Brazil,,Brasilia,3,5,1995,76.2
1282839,South/Central America & Carribean,Brazil,,Brasilia,3,6,1995,73.1
1282840,South/Central America & Carribean,Brazil,,Brasilia,3,7,1995,72.6
1282841,South/Central America & Carribean,Brazil,,Brasilia,3,8,1995,70.3
1282842,South/Central America & Carribean,Brazil,,Brasilia,3,9,1995,73.7
1282843,South/Central America & Carribean,Brazil,,Brasilia,3,10,1995,73.6
1282844,South/Central America & Carribean,Brazil,,Brasilia,3,11,1995,73.9
1282845,South/Central America & Carribean,Brazil,,Brasilia,3,12,1995,75.6
1282846,South/Central America & Carribean,Brazil,,Brasilia,3,13,1995,73.6
1282847,South/Central America & Carribean,Brazil,,Brasilia,3,14,1995,72.8
1282848,South/Central America & Carribean,Brazil,,Brasilia,3,15,1995,71.1
1282849,South/Central America & Carribean,Brazil,,Brasilia,3,16,1995,72.7
1282850,South/Central America & Carribean,Brazil,,Brasilia,3,17,1995,73.7
1282851,South/Central America & Carribean,Brazil,,Brasilia,3,18,1995,74.9
1282852,South/Central America & Carribean,Brazil,,Brasilia,3,19,1995,69.5
1282853,South/Central America & Carribean,Brazil,,Brasilia,3,20,1995,73.2
1282854,South/Central America & Carribean,Brazil,,Brasilia,3,21,1995,74.1
1282855,South/Central America & Carribean,Brazil,,Brasilia,3,22,1995,70.5
1282856,South/Central America & Carribean,Brazil,,Brasilia,3,23,1995,71.7
1282857,South/Central America & Carribean,Brazil,,Brasilia,3,24,1995,70.6
1282858,South/Central America & Carribean,Brazil,,Brasilia,3,25,1995,73.5
1282859,South/Central America & Carribean,Brazil,,Brasilia,3,26,1995,72.9
1282860,South/Central America & Carribean,Brazil,,Brasilia,3,27,1995,72.0
1282861,South/Central America & Carribean,Brazil,,Brasilia,3,28,1995,72.4
1282862,South/Central America & Carribean,Brazil,,Brasilia,3,29,1995,72.9
1282863,South/Central America & Carribean,Brazil,,Brasilia,3,30,1995,72.5
1282864,South/Central America & Carribean,Brazil,,Brasilia,3,31,1995,71.9
1282865,South/Central America & Carribean,Brazil,,Brasilia,4,1,1995,72.5
1282866,South/Central America & Carribean,Brazil,,Brasilia,4,2,1995,74.1
1282867,South/Central America & Carribean,Brazil,,Brasilia,4,3,1995,72.9
1282868,South/Central America & Carribean,Brazil,,Brasilia,4,4,1995,72.9
1282869,South/Central America & Carribean,Brazil,,Brasilia,4,5,1995,71.5
1282870,South/Central America & Carribean,Brazil,,Brasilia,4,6,1995,69.9
1282871,South/Central America & Carribean,Brazil,,Brasilia,4,7,1995,70.7
1282872,South/Central America & Carribean,Brazil,,Brasilia,4,8,1995,71.0
1282873,South/Central America & Carribean,Brazil,,Brasilia,4,9,1995,71.9
1282874,South/Central America & Carribean,Brazil,,Brasilia,4,10,1995,71.4
1282875,South/Central America & Carribean,Brazil,,Brasilia,4,11,1995,71.4
1282876,South/Central America & Carribean,Brazil,,Brasilia,4,12,1995,71.0
1282877,South/Central America & Carribean,Brazil,,Brasilia,4,13,1995,69.4
1282878,South/Central America & Carribean,Brazil,,Brasilia,4,14,1995,71.2
1282879,South/Central America & Carribean,Brazil,,Brasilia,4,15,1995,71.3
1282880,South/Central America & Carribean,Brazil,,Brasilia,4,16,1995,72.9
1282881,South/Central America & Carribean,Brazil,,Brasilia,4,17,1995,72.5
1282882,South/Central America & Carribean,Brazil,,Brasilia,4,18,1995,72.2
1282883,South/Central America & Carribean,Brazil,,Brasilia,4,19,1995,71.9
1282884,South/Central America & Carribean,Brazil,,Brasilia,4,20,1995,71.2
1282885,South/Central America & Carribean,Brazil,,Brasilia,4,21,1995,70.4
1282886,South/Central America & Carribean,Brazil,,Brasilia,4,22,1995,70.9
1282887,South/Central America & Carribean,Brazil,,Brasilia,4,23,1995,70.4
1282888,South/Central America & Carribean,Brazil,,Brasilia,4,24,1995,72.3
1282889,South/Central America & Carribean,Brazil,,Brasilia,4,25,1995,71.7
1282890,South/Central America & Carribean,Brazil,,Brasilia,4,26,1995,72.2
1282891,South/Central America & Carribean,Brazil,,Brasilia,4,27,1995,71.6
1282892,South/Central America & Carribean,Brazil,,Brasilia,4,28,1995,71.2
1282893,South/Central America & Carribean,Brazil,,Brasilia,4,29,1995,71.3
1282894,South/Central America & Carribean,Brazil,,Brasilia,4,30,1995,69.6
1282895,South/Central America & Carribean,Brazil,,Brasilia,5,1,1995,69.2
1282896,South/Central America & Carribean,Brazil,,Brasilia,5,2,1995,70.8
1282897,South/Central America & Carribean,Brazil,,Brasilia,5,3,1995,72.2
1282898,South/Central America & Carribean,Brazil,,Brasilia,5,4,1995,71.9
1282899,South/Central America & Carribean,Brazil,,Brasilia,5,5,1995,71.0
1282900,South/Central America & Carribean,Brazil,,Brasilia,5,6,1995,69.7
1282901,South/Central America & Carribean,Brazil,,Brasilia,5,7,1995,70.5
1282902,South/Central America & Carribean,Brazil,,Brasilia,5,8,1995,69.5
1282903,South/Central America & Carribean,Brazil,,Brasilia,5,9,1995,74.7
1282904,South/Central America & Carribean,Brazil,,Brasilia,5,10,1995,73.2
1282905,South/Central America & Carribean,Brazil,,Brasilia,5,11,1995,72.4
1282906,South/Central America & Carribean,Brazil,,Brasilia,5,12,1995,71.3
1282907,South/Central America & Carribean,Brazil,,Brasilia,5,13,1995,70.3
1282908,South/Central America & Carribean,Brazil,,Brasilia,5,14,1995,72.1
1282909,South/Central America & Carribean,Brazil,,Brasilia,5,15,1995,71.9
1282910,South/Central America & Carribean,Brazil,,Brasilia,5,16,1995,71.3
1282911,South/Central America & Carribean,Brazil,,Brasilia,5,17,1995,72.0
1282912,South/Central America & Carribean,Brazil,,Brasilia,5,18,1995,71.5
1282913,South/Central America & Carribean,Brazil,,Brasilia,5,19,1995,71.0
1282914,South/Central America & Carribean,Brazil,,Brasilia,5,20,1995,69.4
1282915,South/Central America & Carribean,Brazil,,Brasilia,5,21,1995,67.3
1282916,South/Central America & Carribean,Brazil,,Brasilia,5,22,1995,67.5
1282917,South/Central America & Carribean,Brazil,,Brasilia,5,23,1995,68.9
1282918,South/Central America & Carribean,Brazil,,Brasilia,5,24,1995,69.0
1282919,South/Central America & Carribean,Brazil,,Brasilia,5,25,1995,68.6
1282920,South/Central America & Carribean,Brazil,,Brasilia,5,26,1995,69.2
1282921,South/Central America & Carribean,Brazil,,Brasilia,5,27,1995,69.0
1282922,South/Central America & Carribean,Brazil,,Brasilia,5,28,1995,67.3
