,Region,Country,State,City,Month,Day,Year,AvgTemperature
1130116,North America,Canada,,Calgary,1,1,1995,12.6
1130117,North America,Canada,,Calgary,1,2,1995,4.5
1130118,North America,Canada,,Calgary,1,3,1995,2.5
1130119,North America,Canada,,Calgary,1,4,1995,11.4
1130120,North America,Canada,,Calgary,1,5,1995,11.3
1130121,North America,Canada,,Calgary,1,6,1995,4.0
1130122,North America,Canada,,Calgary,1,7,1995,5.4
1130123,North America,Canada,,Calgary,1,8,1995,4.5
1130124,North America,Canada,,Calgary,1,9,1995,7.1
1130125,North America,Canada,,Calgary,1,10,1995,17.1
1130126,North America,Canada,,Calgary,1,11,1995,22.4
1130127,North America,Canada,,Calgary,1,12,1995,28.3
1130128,North America,Canada,,Calgary,1,13,1995,17.3
1130129,North America,Canada,,Calgary,1,14,1995,16.2
1130130,North America,Canada,,Calgary,1,15,1995,15.1
1130131,North America,Canada,,Calgary,1,16,1995,16.8
1130132,North America,Canada,,Calgary,1,17,1995,15.8
1130133,North America,Canada,,Calgary,1,18,1995,24.9
1130134,North America,Canada,,Calgary,1,19,1995,37.6
1130135,North America,Canada,,Calgary,1,20,1995,22.4
1130136,North America,Canada,,Calgary,1,21,1995,17.7
1130137,North America,Canada,,Calgary,1,22,1995,17.6
1130138,North America,Canada,,Calgary,1,23,1995,22.5
1130139,North America,Canada,,Calgary,1,24,1995,17.9
1130140,North America,Canada,,Calgary,1,25,1995,18.7
1130141,North America,Canada,,Calgary,1,26,1995,23.2
1130142,North America,Canada,,Calgary,1,27,1995,24.5
1130143,North America,Canada,,Calgary,1,28,1995,21.8
1130144,North America,Canada,,Calgary,1,29,1995,29.2
1130145,North America,Canada,,Calgary,1,30,1995,44.3
1130146,North America,Canada,,Calgary,1,31,1995,39.6
1130147,North America,Canada,,Calgary,2,1,1995,43.9
1130148,North America,Canada,,Calgary,2,2,1995,39.4
1130149,North America,Canada,,Calgary,2,3,1995,32.1
1130150,North America,Canada,,Calgary,2,4,1995,30.4
1130151,North America,Canada,,Calgary,2,5,1995,24.1
1130152,North America,Canada,,Calgary,2,6,1995,28.1
1130153,North America,Canada,,Calgary,2,7,1995,30.8
1130154,North America,Canada,,Calgary,2,8,1995,30.8
1130155,North America,Canada,,Calgary,2,9,1995,35.5
1130156,North America,Canada,,Calgary,2,10,1995,12.1
1130157,North America,Canada,,Calgary,2,11,1995,0.8
1130158,North America,Canada,,Calgary,2,12,1995,-3.3
1130159,North America,Canada,,Calgary,2,13,1995,-0.7
1130160,North America,Canada,,Calgary,2,14,1995,-0.1
1130161,North America,Canada,,Calgary,2,15,1995,6.9
1130162,North America,Canada,,Calgary,2,16,1995,2.4
1130163,North America,Canada,,Calgary,2,17,1995,11.9
1130164,North America,Canada,,Calgary,2,18,1995,31.2
1130165,North America,Canada,,Calgary,2,19,1995,42.6
1130166,North America,Canada,,Calgary,2,20,1995,43.0
1130167,North America,Canada,,Calgary,2,21,1995,43.5
1130168,North America,Canada,,Calgary,2,22,1995,34.5
1130169,North America,Canada,,Calgary,2,23,1995,23.7
1130170,North America,Canada,,Calgary,2,24,1995,40.7
1130171,North America,Canada,,Calgary,2,25,1995,35.4
1130172,North America,Canada,,Calgary,2,26,1995,13.4
1130173,North America,Canada,,Calgary,2,27,1995,4.8
1130174,North America,Canada,,Calgary,2,28,1995,4.2
1130175,North America,Canada,,Calgary,3,1,1995,10.1
1130176,North America,Canada,,Calgary,3,2,1995,22.5
1130177,North America,Canada,,Calgary,3,3,1995,15.5
1130178,North America,Canada,,Calgary,3,4,1995,-2.5
1130179,North America,Canada,,Calgary,3,5,1995,-12.9
1130180,North America,Canada,,Calgary,3,6,1995,-10.3
1130181,North America,Canada,,Calgary,3,7,1995,-4.4
1130182,North America,Canada,,Calgary,3,8,1995,3.0
1130183,North America,Canada,,Calgary,3,9,1995,9.0
1130184,North America,Canada,,Calgary,3,10,1995,37.8
1130185,North America,Canada,,Calgary,3,11,1995,42.9
1130186,North America,Canada,,Calgary,3,12,1995,39.6
1130187,North America,Canada,,Calgary,3,13,1995,41.1
1130188,North America,Canada,,Calgary,3,14,1995,37.9
1130189,North America,Canada,,Calgary,3,15,1995,42.5
1130190,North America,Canada,,Calgary,3,16,1995,38.6
1130191,North America,Canada,,Calgary,3,17,1995,36.4
1130192,North America,Canada,,Calgary,3,18,1995,39.3
1130193,North America,Canada,,Calgary,3,19,1995,45.2
1130194,North America,Canada,,Calgary,3,20,1995,37.5
1130195,North America,Canada,,Calgary,3,21,1995,44.0
1130196,North America,Canada,,Calgary,3,22,1995,36.6
1130197,North America,Canada,,Calgary,3,23,1995,27.5
1130198,North America,Canada,,Calgary,3,24,1995,31.8
1130199,North America,Canada,,Calgary,3,25,1995,29.4
1130200,North America,Canada,,Calgary,3,26,1995,22.3
1130201,North America,Canada,,Calgary,3,27,1995,25.6
1130202,North America,Canada,,Calgary,3,28,1995,30.0
1130203,North America,Canada,,Calgary,3,29,1995,33.5
1130204,North America,Canada,,Calgary,3,30,1995,41.2
1130205,North America,Canada,,Calgary,3,31,1995,46.3
1130206,North America,Canada,,Calgary,4,1,1995,51.4
1130207,North America,Canada,,Calgary,4,2,1995,41.3
1130208,North America,Canada,,Calgary,4,3,1995,27.3
1130209,North America,Canada,,Calgary,4,4,1995,27.5
1130210,North America,Canada,,Calgary,4,5,1995,37.9
1130211,North America,Canada,,Calgary,4,6,1995,39.0
1130212,North America,Canada,,Calgary,4,7,1995,32.7
1130213,North America,Canada,,Calgary,4,8,1995,33.8
1130214,North America,Canada,,Calgary,4,9,1995,23.5
1130215,North America,Canada,,Calgary,4,10,1995,30.0
1130216,North America,Canada,,Calgary,4,11,1995,40.8
1130217,North America,Canada,,Calgary,4,12,1995,38.7
1130218,North America,Canada,,Calgary,4,13,1995,42.4
1130219,North America,Canada,,Calgary,4,14,1995,42.9
1130220,North America,Canada,,Calgary,4,15,1995,33.8
1130221,North America,Canada,,Calgary,4,16,1995,33.2
1130222,North America,Canada,,Calgary,4,17,1995,37.8
1130223,North America,Canada,,Calgary,4,18,1995,42.0
1130224,North America,Canada,,Calgary,4,19,1995,39.0
1130225,North America,Canada,,Calgary,4,20,1995,39.8
1130226,North America,Canada,,Calgary,4,21,1995,40.1
1130227,North America,Canada,,Calgary,4,22,1995,42.1
1130228,North America,Canada,,Calgary,4,23,1995,43.2
1130229,North America,Canada,,Calgary,4,24,1995,46.6
1130230,North America,Canada,,Calgary,4,25,1995,36.9
1130231,North America,Canada,,Calgary,4,26,1995,36.0
1130232,North America,Canada,,Calgary,4,27,1995,42.1
1130233,North America,Canada,,Calgary,4,28,1995,36.3
1130234,North America,Canada,,Calgary,4,29,1995,32.1
