,Region,Country,State,City,Month,Day,Year,AvgTemperature
256928,Asia,China,,Beijing,1,1,1995,28.0
256929,Asia,China,,Beijing,1,2,1995,29.0
256930,Asia,China,,Beijing,1,3,1995,29.9
256931,Asia,China,,Beijing,1,4,1995,34.5
256932,Asia,China,,Beijing,1,5,1995,36.6
256933,Asia,China,,Beijing,1,6,1995,39.5
256934,Asia,China,,Beijing,1,7,1995,35.9
256935,Asia,China,,Beijing,1,8,1995,35.8
256936,Asia,China,,Beijing,1,9,1995,29.3
256937,Asia,China,,Beijing,1,10,1995,28.4
256938,Asia,China,,Beijing,1,11,1995,28.0
256939,Asia,China,,Beijing,1,12,1995,28.7
256940,Asia,China,,Beijing,1,13,1995,27.0
256941,Asia,China,,Beijing,1,14,1995,26.6
256942,Asia,China,,Beijing,1,15,1995,27.3
256943,Asia,China,,Beijing,1,16,1995,30.1
256944,Asia,China,,Beijing,1,17,1995,30.3
256945,Asia,China,,Beijing,1,18,1995,26.7
256946,Asia,China,,Beijing,1,19,1995,25.9
256947,Asia,China,,Beijing,1,20,1995,27.1
256948,Asia,China,,Beijing,1,21,1995,33.4
256949,Asia,China,,Beijing,1,22,1995,33.0
256950,Asia,China,,Beijing,1,23,1995,26.0
256951,Asia,China,,Beijing,1,24,1995,29.6
256952,Asia,China,,Beijing,1,25,1995,26.2
256953,Asia,China,,Beijing,1,26,1995,28.4
256954,Asia,China,,Beijing,1,27,1995,31.9
256955,Asia,China,,Beijing,1,28,1995,32.2
256956,Asia,China,,Beijing,1,29,1995,32.5
256957,Asia,China,,Beijing,1,30,1995,29.5
256958,Asia,China,,Beijing,1,31,1995,25.8
256959,Asia,China,,Beijing,2,1,1995,26.7
256960,Asia,China,,Beijing,2,2,1995,26.8
256961,Asia,China,,Beijing,2,3,1995,24.3
256962,Asia,China,,Beijing,2,4,1995,27.5
256963,Asia,China,,Beijing,2,5,1995,34.4
256964,Asia,China,,Beijing,2,6,1995,38.7
256965,Asia,China,,Beijing,2,7,1995,39.9
256966,Asia,China,,Beijing,2,8,1995,37.9
256967,Asia,China,,Beijing,2,9,1995,36.6
256968,Asia,China,,Beijing,2,10,1995,33.3
256969,Asia,China,,Beijing,2,11,1995,40.7
256970,Asia,China,,Beijing,2,12,1995,35.7
256971,Asia,China,,Beijing,2,13,1995,35.2
256972,Asia,China,,Beijing,2,14,1995,38.8
256973,Asia,China,,Beijing,2,15,1995,35.5
256974,Asia,China,,Beijing,2,16,1995,36.1
256975,Asia,China,,Beijing,2,17,1995,37.5
256976,Asia,China,,Beijing,2,18,1995,40.1
256977,Asia,China,,Beijing,2,19,1995,35.6
256978,Asia,China,,Beijing,2,20,1995,34.7
256979,Asia,China,,Beijing,2,21,1995,33.8
256980,Asia,China,,Beijing,2,22,1995,38.1
256981,Asia,China,,Beijing,2,23,1995,40.9
256982,Asia,China,,Beijing,2,24,1995,43.0
256983,Asia,China,,Beijing,2,25,1995,37.9
256984,Asia,China,,Beijing,2,26,1995,40.0
256985,Asia,China,,Beijing,2,27,1995,33.1
