,Region,Country,State,City,Month,Day,Year,AvgTemperature
703154,Europe,Finland,,Helsinki,1,1,1995,34.9
703155,Europe,Finland,,Helsinki,1,2,1995,28.9
703156,Europe,Finland,,Helsinki,1,3,1995,16.5
703157,Europe,Finland,,Helsinki,1,4,1995,27.5
703158,Europe,Finland,,Helsinki,1,5,1995,31.6
703159,Europe,Finland,,Helsinki,1,6,1995,28.3
703160,Europe,Finland,,Helsinki,1,7,1995,27.4
703161,Europe,Finland,,Helsinki,1,8,1995,33.3
703162,Europe,Finland,,Helsinki,1,9,1995,32.2
703163,Europe,Finland,,Helsinki,1,10,1995,30.6
703164,Europe,Finland,,Helsinki,1,11,1995,26.1
703165,Europe,Finland,,Helsinki,1,12,1995,22.3
703166,Europe,Finland,,Helsinki,1,13,1995,15.3
703167,Europe,Finland,,Helsinki,1,14,1995,21.9
703168,Europe,Finland,,Helsinki,1,15,1995,33.2
703169,Europe,Finland,,Helsinki,1,16,1995,30.9
703170,Europe,Finland,,Helsinki,1,17,1995,33.3
703171,Europe,Finland,,Helsinki,1,18,1995,30.5
703172,Europe,Finland,,Helsinki,1,19,1995,22.3
703173,Europe,Finland,,Helsinki,1,20,1995,23.2
703174,Europe,Finland,,Helsinki,1,21,1995,22.3
703175,Europe,Finland,,Helsinki,1,22,1995,22.4
703176,Europe,Finland,,Helsinki,1,23,1995,27.3
703177,Europe,Finland,,Helsinki,1,24,1995,33.8
703178,Europe,Finland,,Helsinki,1,25,1995,31.3
703179,Europe,Finland,,Helsinki,1,26,1995,32.8
703180,Europe,Finland,,Helsinki,1,27,1995,29.7
703181,Europe,Finland,,Helsinki,1,28,1995,18.0
703182,Europe,Finland,,Helsinki,1,29,1995,22.3
703183,Europe,Finland,,Helsinki,1,30,1995,18.1
703184,Europe,Finland,,Helsinki,1,31,1995,10.4
703185,Europe,Finland,,Helsinki,2,1,1995,23.6
703186,Europe,Finland,,Helsinki,2,2,1995,34.0
703187,Europe,Finland,,Helsinki,2,3,1995,28.9
703188,Europe,Finland,,Helsinki,2,4,1995,34.8
703189,Europe,Finland,,Helsinki,2,5,1995,30.1
703190,Europe,Finland,,Helsinki,2,6,1995,31.8
703191,Europe,Finland,,Helsinki,2,7,1995,25.7
703192,Europe,Finland,,Helsinki,2,8,1995,22.4
703193,Europe,Finland,,Helsinki,2,9,1995,24.2
703194,Europe,Finland,,Helsinki,2,10,1995,30.7
703195,Europe,Finland,,Helsinki,2,11,1995,25.6
703196,Europe,Finland,,Helsinki,2,12,1995,20.9
703197,Europe,Finland,,Helsinki,2,13,1995,34.6
703198,Europe,Finland,,Helsinki,2,14,1995,33.8
703199,Europe,Finland,,Helsinki,2,15,1995,35.6
703200,Europe,Finland,,Helsinki,2,16,1995,36.1
703201,Europe,Finland,,Helsinki,2,17,1995,35.5
703202,Europe,Finland,,Helsinki,2,18,1995,34.3
703203,Europe,Finland,,Helsinki,2,19,1995,34.4
703204,Europe,Finland,,Helsinki,2,20,1995,34.7
703205,Europe,Finland,,Helsinki,2,21,1995,33.4
703206,Europe,Finland,,Helsinki,2,22,1995,33.6
703207,Europe,Finland,,Helsinki,2,23,1995,34.9
703208,Europe,Finland,,Helsinki,2,24,1995,34.3
703209,Europe,Finland,,Helsinki,2,25,1995,33.4
703210,Europe,Finland,,Helsinki,2,26,1995,30.7
703211,Europe,Finland,,Helsinki,2,27,1995,31.0
703212,Europe,Finland,,Helsinki,2,28,1995,32.5
703213,Europe,Finland,,Helsinki,3,1,1995,34.4
703214,Europe,Finland,,Helsinki,3,2,1995,34.5
703215,Europe,Finland,,Helsinki,3,3,1995,33.8
703216,Europe,Finland,,Helsinki,3,4,1995,33.9
703217,Europe,Finland,,Helsinki,3,5,1995,33.2
703218,Europe,Finland,,Helsinki,3,6,1995,30.9
703219,Europe,Finland,,Helsinki,3,7,1995,33.2
703220,Europe,Finland,,Helsinki,3,8,1995,32.1
703221,Europe,Finland,,Helsinki,3,9,1995,33.8
703222,Europe,Finland,,Helsinki,3,10,1995,32.9
703223,Europe,Finland,,Helsinki,3,11,1995,34.2
703224,Europe,Finland,,Helsinki,3,12,1995,33.6
703225,Europe,Finland,,Helsinki,3,13,1995,31.3
703226,Europe,Finland,,Helsinki,3,14,1995,29.2
703227,Europe,Finland,,Helsinki,3,15,1995,30.9
703228,Europe,Finland,,Helsinki,3,16,1995,30.9
703229,Europe,Finland,,Helsinki,3,17,1995,31.7
703230,Europe,Finland,,Helsinki,3,18,1995,32.3
703231,Europe,Finland,,Helsinki,3,19,1995,34.1
703232,Europe,Finland,,Helsinki,3,20,1995,34.2
703233,Europe,Finland,,Helsinki,3,21,1995,32.5
703234,Europe,Finland,,Helsinki,3,22,1995,31.5
703235,Europe,Finland,,Helsinki,3,23,1995,34.4
703236,Europe,Finland,,Helsinki,3,24,1995,35.8
703237,Europe,Finland,,Helsinki,3,25,1995,34.1
703238,Europe,Finland,,Helsinki,3,26,1995,34.1
703239,Europe,Finland,,Helsinki,3,27,1995,31.7
703240,Europe,Finland,,Helsinki,3,28,1995,29.8
703241,Europe,Finland,,Helsinki,3,29,1995,29.4
703242,Europe,Finland,,Helsinki,3,30,1995,26.8
703243,Europe,Finland,,Helsinki,3,31,1995,27.6
703244,Europe,Finland,,Helsinki,4,1,1995,30.7
703245,Europe,Finland,,Helsinki,4,2,1995,31.5
703246,Europe,Finland,,Helsinki,4,3,1995,29.4
703247,Europe,Finland,,Helsinki,4,4,1995,32.3
703248,Europe,Finland,,Helsinki,4,5,1995,33.4
703249,Europe,Finland,,Helsinki,4,6,1995,32.1
703250,Europe,Finland,,Helsinki,4,7,1995,32.7
703251,Europe,Finland,,Helsinki,4,8,1995,34.8
703252,Europe,Finland,,Helsinki,4,9,1995,33.5
703253,Europe,Finland,,Helsinki,4,10,1995,33.8
703254,Europe,Finland,,Helsinki,4,11,1995,33.7
703255,Europe,Finland,,Helsinki,4,12,1995,36.1
703256,Europe,Finland,,Helsinki,4,13,1995,38.2
703257,Europe,Finland,,Helsinki,4,14,1995,37.1
703258,Europe,Finland,,Helsinki,4,15,1995,42.5
703259,Europe,Finland,,Helsinki,4,16,1995,43.4
703260,Europe,Finland,,Helsinki,4,17,1995,37.8
703261,Europe,Finland,,Helsinki,4,18,1995,37.5
703262,Europe,Finland,,Helsinki,4,19,1995,40.6
703263,Europe,Finland,,Helsinki,4,20,1995,48.2
703264,Europe,Finland,,Helsinki,4,21,1995,42.6
703265,Europe,Finland,,Helsinki,4,22,1995,43.0
703266,Europe,Finland,,Helsinki,4,23,1995,51.6
703267,Europe,Finland,,Helsinki,4,24,1995,55.8
703268,Europe,Finland,,Helsinki,4,25,1995,44.8
703269,Europe,Finland,,Helsinki,4,26,1995,39.6
703270,Europe,Finland,,Helsinki,4,27,1995,38.9
703271,Europe,Finland,,Helsinki,4,28,1995,40.3
703272,Europe,Finland,,Helsinki,4,29,1995,34.1
703273,Europe,Finland,,Helsinki,4,30,1995,33.5
703274,Europe,Finland,,Helsinki,5,1,1995,35.1
703275,Europe,Finland,,Helsinki,5,2,1995,37.8
703276,Europe,Finland,,Helsinki,5,3,1995,50.0
703277,Europe,Finland,,Helsinki,5,4,1995,48.5
703278,Europe,Finland,,Helsinki,5,5,1995,47.7
703279,Europe,Finland,,Helsinki,5,6,1995,46.2
703280,Europe,Finland,,Helsinki,5,7,1995,48.7
703281,Europe,Finland,,Helsinki,5,8,1995,41.5
703282,Europe,Finland,,Helsinki,5,9,1995,39.3
703283,Europe,Finland,,Helsinki,5,10,1995,39.1
703284,Europe,Finland,,Helsinki,5,11,1995,37.5
703285,Europe,Finland,,Helsinki,5,12,1995,35.8
703286,Europe,Finland,,Helsinki,5,13,1995,44.4
703287,Europe,Finland,,Helsinki,5,14,1995,35.6
703288,Europe,Finland,,Helsinki,5,15,1995,38.1
703289,Europe,Finland,,Helsinki,5,16,1995,41.8
703290,Europe,Finland,,Helsinki,5,17,1995,45.1
703291,Europe,Finland,,Helsinki,5,18,1995,50.0
703292,Europe,Finland,,Helsinki,5,19,1995,54.6
703293,Europe,Finland,,Helsinki,5,20,1995,47.4
703294,Europe,Finland,,Helsinki,5,21,1995,55.2
703295,Europe,Finland,,Helsinki,5,22,1995,47.8
703296,Europe,Finland,,Helsinki,5,23,1995,47.8
703297,Europe,Finland,,Helsinki,5,24,1995,48.0
