,Region,Country,State,City,Month,Day,Year,AvgTemperature
712420,Europe,France,,Paris,1,1,1995,37.4
712421,Europe,France,,Paris,1,2,1995,35.2
712422,Europe,France,,Paris,1,3,1995,36.0
712423,Europe,France,,Paris,1,4,1995,30.7
712424,Europe,France,,Paris,1,5,1995,27.0
712425,Europe,France,,Paris,1,6,1995,33.8
712426,Europe,France,,Paris,1,7,1995,37.9
712427,Europe,France,,Paris,1,8,1995,38.3
712428,Europe,France,,Paris,1,9,1995,42.0
712429,Europe,France,,Paris,1,10,1995,48.2
712430,Europe,France,,Paris,1,11,1995,41.2
712431,Europe,France,,Paris,1,12,1995,38.1
712432,Europe,France,,Paris,1,13,1995,40.0
712433,Europe,France,,Paris,1,14,1995,43.6
712434,Europe,France,,Paris,1,15,1995,43.6
712435,Europe,France,,Paris,1,16,1995,36.8
712436,Europe,France,,Paris,1,17,1995,46.2
712437,Europe,France,,Paris,1,18,1995,42.5
712438,Europe,France,,Paris,1,19,1995,42.9
712439,Europe,France,,Paris,1,20,1995,47.6
712440,Europe,France,,Paris,1,21,1995,43.6
712441,Europe,France,,Paris,1,22,1995,54.9
712442,Europe,France,,Paris,1,23,1995,46.2
712443,Europe,France,,Paris,1,24,1995,43.8
712444,Europe,France,,Paris,1,25,1995,56.8
712445,Europe,France,,Paris,1,26,1995,47.1
712446,Europe,France,,Paris,1,27,1995,39.2
712447,Europe,France,,Paris,1,28,1995,51.1
712448,Europe,France,,Paris,1,29,1995,51.4
712449,Europe,France,,Paris,1,30,1995,42.7
712450,Europe,France,,Paris,1,31,1995,41.1
712451,Europe,France,,Paris,2,1,1995,53.5
712452,Europe,France,,Paris,2,2,1995,45.4
712453,Europe,France,,Paris,2,3,1995,44.6
712454,Europe,France,,Paris,2,4,1995,49.8
712455,Europe,France,,Paris,2,5,1995,49.9
712456,Europe,France,,Paris,2,6,1995,50.6
712457,Europe,France,,Paris,2,7,1995,45.9
712458,Europe,France,,Paris,2,8,1995,50.4
712459,Europe,France,,Paris,2,9,1995,42.0
712460,Europe,France,,Paris,2,10,1995,48.2
712461,Europe,France,,Paris,2,11,1995,51.1
712462,Europe,France,,Paris,2,12,1995,51.2
712463,Europe,France,,Paris,2,13,1995,51.3
712464,Europe,France,,Paris,2,14,1995,49.8
712465,Europe,France,,Paris,2,15,1995,56.0
