,Region,Country,State,City,Month,Day,Year,AvgTemperature
730952,Europe,Germany,,Bonn,1,1,1995,-99.0
730953,Europe,Germany,,Bonn,1,2,1995,32.6
730954,Europe,Germany,,Bonn,1,3,1995,31.8
730955,Europe,Germany,,Bonn,1,4,1995,-99.0
730956,Europe,Germany,,Bonn,1,5,1995,19.1
730957,Europe,Germany,,Bonn,1,6,1995,20.0
730958,Europe,Germany,,Bonn,1,7,1995,-99.0
730959,Europe,Germany,,Bonn,1,8,1995,-99.0
730960,Europe,Germany,,Bonn,1,9,1995,35.8
730961,Europe,Germany,,Bonn,1,10,1995,39.3
730962,Europe,Germany,,Bonn,1,11,1995,35.5
730963,Europe,Germany,,Bonn,1,12,1995,-99.0
730964,Europe,Germany,,Bonn,1,13,1995,-99.0
730965,Europe,Germany,,Bonn,1,14,1995,-99.0
730966,Europe,Germany,,Bonn,1,15,1995,-99.0
730967,Europe,Germany,,Bonn,1,16,1995,35.8
730968,Europe,Germany,,Bonn,1,17,1995,-99.0
730969,Europe,Germany,,Bonn,1,18,1995,40.5
730970,Europe,Germany,,Bonn,1,19,1995,40.0
730971,Europe,Germany,,Bonn,1,20,1995,45.6
730972,Europe,Germany,,Bonn,1,21,1995,-99.0
730973,Europe,Germany,,Bonn,1,22,1995,-99.0
730974,Europe,Germany,,Bonn,1,23,1995,43.6
730975,Europe,Germany,,Bonn,1,24,1995,-99.0
730976,Europe,Germany,,Bonn,1,25,1995,37.7
730977,Europe,Germany,,Bonn,1,26,1995,52.1
730978,Europe,Germany,,Bonn,1,27,1995,34.2
730979,Europe,Germany,,Bonn,1,28,1995,-99.0
730980,Europe,Germany,,Bonn,1,29,1995,-99.0
730981,Europe,Germany,,Bonn,1,30,1995,38.5
730982,Europe,Germany,,Bonn,1,31,1995,30.9
730983,Europe,Germany,,Bonn,2,1,1995,48.2
730984,Europe,Germany,,Bonn,2,2,1995,42.6
730985,Europe,Germany,,Bonn,2,3,1995,38.2
730986,Europe,Germany,,Bonn,2,4,1995,-99.0
730987,Europe,Germany,,Bonn,2,5,1995,-99.0
730988,Europe,Germany,,Bonn,2,6,1995,49.8
730989,Europe,Germany,,Bonn,2,7,1995,45.7
730990,Europe,Germany,,Bonn,2,8,1995,48.7
730991,Europe,Germany,,Bonn,2,9,1995,42.4
730992,Europe,Germany,,Bonn,2,10,1995,33.6
730993,Europe,Germany,,Bonn,2,11,1995,-99.0
730994,Europe,Germany,,Bonn,2,12,1995,-99.0
730995,Europe,Germany,,Bonn,2,13,1995,42.8
