,Region,Country,State,City,Month,Day,Year,AvgTemperature
785219,Europe,Ireland,,Dublin,1,1,1995,34.3
785220,Europe,Ireland,,Dublin,1,2,1995,34.8
785221,Europe,Ireland,,Dublin,1,3,1995,40.1
785222,Europe,Ireland,,Dublin,1,4,1995,45.1
785223,Europe,Ireland,,Dublin,1,5,1995,46.3
785224,Europe,Ireland,,Dublin,1,6,1995,38.5
785225,Europe,Ireland,,Dublin,1,7,1995,49.6
785226,Europe,Ireland,,Dublin,1,8,1995,43.0
785227,Europe,Ireland,,Dublin,1,9,1995,46.6
785228,Europe,Ireland,,Dublin,1,10,1995,48.7
785229,Europe,Ireland,,Dublin,1,11,1995,38.8
785230,Europe,Ireland,,Dublin,1,12,1995,35.1
785231,Europe,Ireland,,Dublin,1,13,1995,44.9
785232,Europe,Ireland,,Dublin,1,14,1995,44.3
785233,Europe,Ireland,,Dublin,1,15,1995,45.4
785234,Europe,Ireland,,Dublin,1,16,1995,43.1
785235,Europe,Ireland,,Dublin,1,17,1995,40.9
785236,Europe,Ireland,,Dublin,1,18,1995,36.4
785237,Europe,Ireland,,Dublin,1,19,1995,35.3
785238,Europe,Ireland,,Dublin,1,20,1995,35.6
785239,Europe,Ireland,,Dublin,1,21,1995,37.9
785240,Europe,Ireland,,Dublin,1,22,1995,35.0
785241,Europe,Ireland,,Dublin,1,23,1995,39.1
785242,Europe,Ireland,,Dublin,1,24,1995,37.5
785243,Europe,Ireland,,Dublin,1,25,1995,37.6
785244,Europe,Ireland,,Dublin,1,26,1995,34.7
785245,Europe,Ireland,,Dublin,1,27,1995,40.7
785246,Europe,Ireland,,Dublin,1,28,1995,43.7
785247,Europe,Ireland,,Dublin,1,29,1995,41.8
785248,Europe,Ireland,,Dublin,1,30,1995,39.9
785249,Europe,Ireland,,Dublin,1,31,1995,50.3
785250,Europe,Ireland,,Dublin,2,1,1995,41.9
785251,Europe,Ireland,,Dublin,2,2,1995,40.8
785252,Europe,Ireland,,Dublin,2,3,1995,48.5
785253,Europe,Ireland,,Dublin,2,4,1995,47.0
785254,Europe,Ireland,,Dublin,2,5,1995,50.0
785255,Europe,Ireland,,Dublin,2,6,1995,50.1
785256,Europe,Ireland,,Dublin,2,7,1995,46.4
785257,Europe,Ireland,,Dublin,2,8,1995,39.5
785258,Europe,Ireland,,Dublin,2,9,1995,40.7
785259,Europe,Ireland,,Dublin,2,10,1995,43.7
785260,Europe,Ireland,,Dublin,2,11,1995,45.5
785261,Europe,Ireland,,Dublin,2,12,1995,44.5
785262,Europe,Ireland,,Dublin,2,13,1995,43.1
785263,Europe,Ireland,,Dublin,2,14,1995,44.5
785264,Europe,Ireland,,Dublin,2,15,1995,42.0
785265,Europe,Ireland,,Dublin,2,16,1995,39.6
785266,Europe,Ireland,,Dublin,2,17,1995,38.0
785267,Europe,Ireland,,Dublin,2,18,1995,41.1
785268,Europe,Ireland,,Dublin,2,19,1995,41.3
785269,Europe,Ireland,,Dublin,2,20,1995,41.2
785270,Europe,Ireland,,Dublin,2,21,1995,38.7
785271,Europe,Ireland,,Dublin,2,22,1995,40.1
785272,Europe,Ireland,,Dublin,2,23,1995,37.6
785273,Europe,Ireland,,Dublin,2,24,1995,39.2
785274,Europe,Ireland,,Dublin,2,25,1995,37.5
785275,Europe,Ireland,,Dublin,2,26,1995,36.6
785276,Europe,Ireland,,Dublin,2,27,1995,46.4
785277,Europe,Ireland,,Dublin,2,28,1995,50.4
785278,Europe,Ireland,,Dublin,3,1,1995,36.2
785279,Europe,Ireland,,Dublin,3,2,1995,32.7
785280,Europe,Ireland,,Dublin,3,3,1995,32.5
785281,Europe,Ireland,,Dublin,3,4,1995,35.0
785282,Europe,Ireland,,Dublin,3,5,1995,39.8
785283,Europe,Ireland,,Dublin,3,6,1995,35.8
785284,Europe,Ireland,,Dublin,3,7,1995,35.8
785285,Europe,Ireland,,Dublin,3,8,1995,37.6
785286,Europe,Ireland,,Dublin,3,9,1995,39.8
785287,Europe,Ireland,,Dublin,3,10,1995,47.9
785288,Europe,Ireland,,Dublin,3,11,1995,43.6
785289,Europe,Ireland,,Dublin,3,12,1995,42.7
785290,Europe,Ireland,,Dublin,3,13,1995,49.5
785291,Europe,Ireland,,Dublin,3,14,1995,43.5
785292,Europe,Ireland,,Dublin,3,15,1995,35.3
785293,Europe,Ireland,,Dublin,3,16,1995,40.5
785294,Europe,Ireland,,Dublin,3,17,1995,40.6
785295,Europe,Ireland,,Dublin,3,18,1995,38.7
785296,Europe,Ireland,,Dublin,3,19,1995,36.9
785297,Europe,Ireland,,Dublin,3,20,1995,39.3
785298,Europe,Ireland,,Dublin,3,21,1995,42.3
785299,Europe,Ireland,,Dublin,3,22,1995,43.7
785300,Europe,Ireland,,Dublin,3,23,1995,45.2
785301,Europe,Ireland,,Dublin,3,24,1995,45.4
785302,Europe,Ireland,,Dublin,3,25,1995,48.1
785303,Europe,Ireland,,Dublin,3,26,1995,47.5
785304,Europe,Ireland,,Dublin,3,27,1995,39.6
785305,Europe,Ireland,,Dublin,3,28,1995,42.4
785306,Europe,Ireland,,Dublin,3,29,1995,39.1
785307,Europe,Ireland,,Dublin,3,30,1995,49.5
785308,Europe,Ireland,,Dublin,3,31,1995,53.6
785309,Europe,Ireland,,Dublin,4,1,1995,55.6
785310,Europe,Ireland,,Dublin,4,2,1995,53.5
785311,Europe,Ireland,,Dublin,4,3,1995,50.4
785312,Europe,Ireland,,Dublin,4,4,1995,51.0
785313,Europe,Ireland,,Dublin,4,5,1995,51.0
785314,Europe,Ireland,,Dublin,4,6,1995,54.4
785315,Europe,Ireland,,Dublin,4,7,1995,51.1
785316,Europe,Ireland,,Dublin,4,8,1995,43.6
785317,Europe,Ireland,,Dublin,4,9,1995,47.8
785318,Europe,Ireland,,Dublin,4,10,1995,50.0
785319,Europe,Ireland,,Dublin,4,11,1995,48.3
785320,Europe,Ireland,,Dublin,4,12,1995,44.5
785321,Europe,Ireland,,Dublin,4,13,1995,46.0
785322,Europe,Ireland,,Dublin,4,14,1995,50.5
785323,Europe,Ireland,,Dublin,4,15,1995,48.5
785324,Europe,Ireland,,Dublin,4,16,1995,47.4
785325,Europe,Ireland,,Dublin,4,17,1995,47.9
785326,Europe,Ireland,,Dublin,4,18,1995,38.7
