,Region,Country,State,City,Month,Day,Year,AvgTemperature
358851,Asia,Japan,,Osaka,1,1,1995,42.1
358852,Asia,Japan,,Osaka,1,2,1995,37.6
358853,Asia,Japan,,Osaka,1,3,1995,43.2
358854,Asia,Japan,,Osaka,1,4,1995,46.1
358855,Asia,Japan,,Osaka,1,5,1995,40.9
358856,Asia,Japan,,Osaka,1,6,1995,38.2
358857,Asia,Japan,,Osaka,1,7,1995,42.9
358858,Asia,Japan,,Osaka,1,8,1995,43.2
358859,Asia,Japan,,Osaka,1,9,1995,52.0
358860,Asia,Japan,,Osaka,1,10,1995,40.2
358861,Asia,Japan,,Osaka,1,11,1995,40.7
358862,Asia,Japan,,Osaka,1,12,1995,39.7
358863,Asia,Japan,,Osaka,1,13,1995,38.2
358864,Asia,Japan,,Osaka,1,14,1995,34.3
358865,Asia,Japan,,Osaka,1,15,1995,37.5
358866,Asia,Japan,,Osaka,1,16,1995,37.9
358867,Asia,Japan,,Osaka,1,17,1995,36.4
358868,Asia,Japan,,Osaka,1,18,1995,41.2
358869,Asia,Japan,,Osaka,1,19,1995,36.6
358870,Asia,Japan,,Osaka,1,20,1995,41.5
358871,Asia,Japan,,Osaka,1,21,1995,46.6
358872,Asia,Japan,,Osaka,1,22,1995,49.6
358873,Asia,Japan,,Osaka,1,23,1995,46.5
358874,Asia,Japan,,Osaka,1,24,1995,40.3
358875,Asia,Japan,,Osaka,1,25,1995,39.3
358876,Asia,Japan,,Osaka,1,26,1995,40.1
358877,Asia,Japan,,Osaka,1,27,1995,38.5
358878,Asia,Japan,,Osaka,1,28,1995,38.4
358879,Asia,Japan,,Osaka,1,29,1995,37.8
358880,Asia,Japan,,Osaka,1,30,1995,34.3
358881,Asia,Japan,,Osaka,1,31,1995,34.2
358882,Asia,Japan,,Osaka,2,1,1995,35.2
358883,Asia,Japan,,Osaka,2,2,1995,36.6
358884,Asia,Japan,,Osaka,2,3,1995,37.9
358885,Asia,Japan,,Osaka,2,4,1995,38.8
358886,Asia,Japan,,Osaka,2,5,1995,38.0
358887,Asia,Japan,,Osaka,2,6,1995,38.8
358888,Asia,Japan,,Osaka,2,7,1995,39.6
358889,Asia,Japan,,Osaka,2,8,1995,44.1
358890,Asia,Japan,,Osaka,2,9,1995,43.6
358891,Asia,Japan,,Osaka,2,10,1995,38.9
358892,Asia,Japan,,Osaka,2,11,1995,41.2
358893,Asia,Japan,,Osaka,2,12,1995,46.9
358894,Asia,Japan,,Osaka,2,13,1995,47.4
358895,Asia,Japan,,Osaka,2,14,1995,42.9
358896,Asia,Japan,,Osaka,2,15,1995,43.3
358897,Asia,Japan,,Osaka,2,16,1995,38.7
358898,Asia,Japan,,Osaka,2,17,1995,37.6
358899,Asia,Japan,,Osaka,2,18,1995,41.0
358900,Asia,Japan,,Osaka,2,19,1995,42.7
358901,Asia,Japan,,Osaka,2,20,1995,39.9
358902,Asia,Japan,,Osaka,2,21,1995,37.4
358903,Asia,Japan,,Osaka,2,22,1995,37.8
358904,Asia,Japan,,Osaka,2,23,1995,42.7
358905,Asia,Japan,,Osaka,2,24,1995,40.8
358906,Asia,Japan,,Osaka,2,25,1995,44.4
358907,Asia,Japan,,Osaka,2,26,1995,45.4
358908,Asia,Japan,,Osaka,2,27,1995,40.2
358909,Asia,Japan,,Osaka,2,28,1995,44.6
358910,Asia,Japan,,Osaka,3,1,1995,43.3
358911,Asia,Japan,,Osaka,3,2,1995,39.6
358912,Asia,Japan,,Osaka,3,3,1995,42.1
358913,Asia,Japan,,Osaka,3,4,1995,38.6
358914,Asia,Japan,,Osaka,3,5,1995,39.9
358915,Asia,Japan,,Osaka,3,6,1995,43.5
358916,Asia,Japan,,Osaka,3,7,1995,44.3
358917,Asia,Japan,,Osaka,3,8,1995,44.2
358918,Asia,Japan,,Osaka,3,9,1995,49.3
358919,Asia,Japan,,Osaka,3,10,1995,48.9
358920,Asia,Japan,,Osaka,3,11,1995,47.0
358921,Asia,Japan,,Osaka,3,12,1995,45.9
358922,Asia,Japan,,Osaka,3,13,1995,44.9
358923,Asia,Japan,,Osaka,3,14,1995,44.1
358924,Asia,Japan,,Osaka,3,15,1995,53.7
358925,Asia,Japan,,Osaka,3,16,1995,55.5
