,Region,Country,State,City,Month,Day,Year,AvgTemperature
1204361,North America,Mexico,,Guadalajara,1,1,1995,-99.0
1204362,North America,Mexico,,Guadalajara,1,2,1995,-99.0
1204363,North America,Mexico,,Guadalajara,1,3,1995,-99.0
1204364,North America,Mexico,,Guadalajara,1,4,1995,-99.0
1204365,North America,Mexico,,Guadalajara,1,5,1995,-99.0
1204366,North America,Mexico,,Guadalajara,1,6,1995,58.2
1204367,North America,Mexico,,Guadalajara,1,7,1995,-99.0
1204368,North America,Mexico,,Guadalajara,1,8,1995,-99.0
1204369,North America,Mexico,,Guadalajara,1,9,1995,60.5
1204370,North America,Mexico,,Guadalajara,1,10,1995,69.8
1204371,North America,Mexico,,Guadalajara,1,11,1995,64.2
1204372,North America,Mexico,,Guadalajara,1,12,1995,61.9
1204373,North America,Mexico,,Guadalajara,1,13,1995,61.2
1204374,North America,Mexico,,Guadalajara,1,14,1995,-99.0
1204375,North America,Mexico,,Guadalajara,1,15,1995,-99.0
1204376,North America,Mexico,,Guadalajara,1,16,1995,61.9
1204377,North America,Mexico,,Guadalajara,1,17,1995,61.2
1204378,North America,Mexico,,Guadalajara,1,18,1995,55.6
1204379,North America,Mexico,,Guadalajara,1,19,1995,61.7
1204380,North America,Mexico,,Guadalajara,1,20,1995,63.1
1204381,North America,Mexico,,Guadalajara,1,21,1995,-99.0
1204382,North America,Mexico,,Guadalajara,1,22,1995,-99.0
1204383,North America,Mexico,,Guadalajara,1,23,1995,57.4
1204384,North America,Mexico,,Guadalajara,1,24,1995,64.7
1204385,North America,Mexico,,Guadalajara,1,25,1995,-99.0
1204386,North America,Mexico,,Guadalajara,1,26,1995,64.1
1204387,North America,Mexico,,Guadalajara,1,27,1995,-99.0
1204388,North America,Mexico,,Guadalajara,1,28,1995,-99.0
1204389,North America,Mexico,,Guadalajara,1,29,1995,-99.0
1204390,North America,Mexico,,Guadalajara,1,30,1995,-99.0
1204391,North America,Mexico,,Guadalajara,1,31,1995,-99.0
1204392,North America,Mexico,,Guadalajara,2,1,1995,65.0
1204393,North America,Mexico,,Guadalajara,2,2,1995,65.1
1204394,North America,Mexico,,Guadalajara,2,3,1995,66.7
1204395,North America,Mexico,,Guadalajara,2,4,1995,-99.0
1204396,North America,Mexico,,Guadalajara,2,5,1995,-99.0
1204397,North America,Mexico,,Guadalajara,2,6,1995,-99.0
1204398,North America,Mexico,,Guadalajara,2,7,1995,-99.0
1204399,North America,Mexico,,Guadalajara,2,8,1995,-99.0
1204400,North America,Mexico,,Guadalajara,2,9,1995,-99.0
1204401,North America,Mexico,,Guadalajara,2,10,1995,-99.0
1204402,North America,Mexico,,Guadalajara,2,11,1995,-99.0
1204403,North America,Mexico,,Guadalajara,2,12,1995,-99.0
1204404,North America,Mexico,,Guadalajara,2,13,1995,65.7
1204405,North America,Mexico,,Guadalajara,2,14,1995,65.0
1204406,North America,Mexico,,Guadalajara,2,15,1995,66.4
1204407,North America,Mexico,,Guadalajara,2,16,1995,67.9
1204408,North America,Mexico,,Guadalajara,2,17,1995,62.5
1204409,North America,Mexico,,Guadalajara,2,18,1995,63.7
1204410,North America,Mexico,,Guadalajara,2,19,1995,-99.0
1204411,North America,Mexico,,Guadalajara,2,20,1995,-99.0
1204412,North America,Mexico,,Guadalajara,2,21,1995,73.4
1204413,North America,Mexico,,Guadalajara,2,22,1995,67.1
1204414,North America,Mexico,,Guadalajara,2,23,1995,66.5
1204415,North America,Mexico,,Guadalajara,2,24,1995,68.3
1204416,North America,Mexico,,Guadalajara,2,25,1995,-99.0
1204417,North America,Mexico,,Guadalajara,2,26,1995,-99.0
1204418,North America,Mexico,,Guadalajara,2,27,1995,68.7
1204419,North America,Mexico,,Guadalajara,2,28,1995,69.4
1204420,North America,Mexico,,Guadalajara,3,1,1995,-99.0
1204421,North America,Mexico,,Guadalajara,3,2,1995,70.6
1204422,North America,Mexico,,Guadalajara,3,3,1995,68.6
1204423,North America,Mexico,,Guadalajara,3,4,1995,-99.0
1204424,North America,Mexico,,Guadalajara,3,5,1995,-99.0
