,Region,Country,State,City,Month,Day,Year,AvgTemperature
113965,Africa,Morocco,,Rabat,1,1,1995,59.6
113966,Africa,Morocco,,Rabat,1,2,1995,56.3
113967,Africa,Morocco,,Rabat,1,3,1995,48.7
113968,Africa,Morocco,,Rabat,1,4,1995,49.3
113969,Africa,Morocco,,Rabat,1,5,1995,51.7
113970,Africa,Morocco,,Rabat,1,6,1995,54.5
113971,Africa,Morocco,,Rabat,1,7,1995,52.4
113972,Africa,Morocco,,Rabat,1,8,1995,47.3
113973,Africa,Morocco,,Rabat,1,9,1995,46.8
113974,Africa,Morocco,,Rabat,1,10,1995,50.5
113975,Africa,Morocco,,Rabat,1,11,1995,50.8
113976,Africa,Morocco,,Rabat,1,12,1995,50.9
113977,Africa,Morocco,,Rabat,1,13,1995,52.7
113978,Africa,Morocco,,Rabat,1,14,1995,49.3
113979,Africa,Morocco,,Rabat,1,15,1995,48.9
113980,Africa,Morocco,,Rabat,1,16,1995,50.6
113981,Africa,Morocco,,Rabat,1,17,1995,55.2
113982,Africa,Morocco,,Rabat,1,18,1995,59.1
113983,Africa,Morocco,,Rabat,1,19,1995,58.0
113984,Africa,Morocco,,Rabat,1,20,1995,59.5
113985,Africa,Morocco,,Rabat,1,21,1995,55.3
113986,Africa,Morocco,,Rabat,1,22,1995,51.4
113987,Africa,Morocco,,Rabat,1,23,1995,50.4
113988,Africa,Morocco,,Rabat,1,24,1995,52.6
113989,Africa,Morocco,,Rabat,1,25,1995,53.9
113990,Africa,Morocco,,Rabat,1,26,1995,53.5
113991,Africa,Morocco,,Rabat,1,27,1995,54.8
113992,Africa,Morocco,,Rabat,1,28,1995,53.3
113993,Africa,Morocco,,Rabat,1,29,1995,54.8
113994,Africa,Morocco,,Rabat,1,30,1995,57.9
113995,Africa,Morocco,,Rabat,1,31,1995,56.0
113996,Africa,Morocco,,Rabat,2,1,1995,57.4
113997,Africa,Morocco,,Rabat,2,2,1995,57.3
113998,Africa,Morocco,,Rabat,2,3,1995,55.1
113999,Africa,Morocco,,Rabat,2,4,1995,54.2
114000,Africa,Morocco,,Rabat,2,5,1995,54.8
114001,Africa,Morocco,,Rabat,2,6,1995,50.6
114002,Africa,Morocco,,Rabat,2,7,1995,57.0
114003,Africa,Morocco,,Rabat,2,8,1995,53.9
114004,Africa,Morocco,,Rabat,2,9,1995,56.7
114005,Africa,Morocco,,Rabat,2,10,1995,55.8
114006,Africa,Morocco,,Rabat,2,11,1995,55.3
114007,Africa,Morocco,,Rabat,2,12,1995,55.0
114008,Africa,Morocco,,Rabat,2,13,1995,57.5
114009,Africa,Morocco,,Rabat,2,14,1995,60.3
114010,Africa,Morocco,,Rabat,2,15,1995,59.6
114011,Africa,Morocco,,Rabat,2,16,1995,57.1
114012,Africa,Morocco,,Rabat,2,17,1995,56.7
114013,Africa,Morocco,,Rabat,2,18,1995,57.8
114014,Africa,Morocco,,Rabat,2,19,1995,57.6
114015,Africa,Morocco,,Rabat,2,20,1995,62.7
114016,Africa,Morocco,,Rabat,2,21,1995,60.4
114017,Africa,Morocco,,Rabat,2,22,1995,55.4
