,Region,Country,State,City,Month,Day,Year,AvgTemperature
614111,Australia/South Pacific,New Zealand,,Auckland,1,1,1995,63.6
614112,Australia/South Pacific,New Zealand,,Auckland,1,2,1995,63.8
614113,Australia/South Pacific,New Zealand,,Auckland,1,3,1995,59.2
614114,Australia/South Pacific,New Zealand,,Auckland,1,4,1995,61.2
614115,Australia/South Pacific,New Zealand,,Auckland,1,5,1995,64.0
614116,Australia/South Pacific,New Zealand,,Auckland,1,6,1995,62.1
614117,Australia/South Pacific,New Zealand,,Auckland,1,7,1995,66.1
614118,Australia/South Pacific,New Zealand,,Auckland,1,8,1995,68.8
614119,Australia/South Pacific,New Zealand,,Auckland,1,9,1995,68.0
614120,Australia/South Pacific,New Zealand,,Auckland,1,10,1995,65.1
614121,Australia/South Pacific,New Zealand,,Auckland,1,11,1995,63.1
614122,Australia/South Pacific,New Zealand,,Auckland,1,12,1995,65.4
614123,Australia/South Pacific,New Zealand,,Auckland,1,13,1995,66.8
614124,Australia/South Pacific,New Zealand,,Auckland,1,14,1995,68.5
614125,Australia/South Pacific,New Zealand,,Auckland,1,15,1995,68.9
614126,Australia/South Pacific,New Zealand,,Auckland,1,16,1995,70.9
614127,Australia/South Pacific,New Zealand,,Auckland,1,17,1995,70.7
614128,Australia/South Pacific,New Zealand,,Auckland,1,18,1995,71.1
614129,Australia/South Pacific,New Zealand,,Auckland,1,19,1995,69.0
614130,Australia/South Pacific,New Zealand,,Auckland,1,20,1995,67.2
614131,Australia/South Pacific,New Zealand,,Auckland,1,21,1995,67.8
614132,Australia/South Pacific,New Zealand,,Auckland,1,22,1995,68.9
614133,Australia/South Pacific,New Zealand,,Auckland,1,23,1995,69.1
614134,Australia/South Pacific,New Zealand,,Auckland,1,24,1995,66.4
614135,Australia/South Pacific,New Zealand,,Auckland,1,25,1995,69.2
614136,Australia/South Pacific,New Zealand,,Auckland,1,26,1995,71.8
614137,Australia/South Pacific,New Zealand,,Auckland,1,27,1995,67.6
614138,Australia/South Pacific,New Zealand,,Auckland,1,28,1995,68.8
614139,Australia/South Pacific,New Zealand,,Auckland,1,29,1995,66.6
614140,Australia/South Pacific,New Zealand,,Auckland,1,30,1995,68.5
614141,Australia/South Pacific,New Zealand,,Auckland,1,31,1995,69.3
614142,Australia/South Pacific,New Zealand,,Auckland,2,1,1995,69.9
614143,Australia/South Pacific,New Zealand,,Auckland,2,2,1995,66.0
614144,Australia/South Pacific,New Zealand,,Auckland,2,3,1995,66.3
614145,Australia/South Pacific,New Zealand,,Auckland,2,4,1995,67.0
614146,Australia/South Pacific,New Zealand,,Auckland,2,5,1995,69.7
614147,Australia/South Pacific,New Zealand,,Auckland,2,6,1995,68.7
614148,Australia/South Pacific,New Zealand,,Auckland,2,7,1995,70.5
614149,Australia/South Pacific,New Zealand,,Auckland,2,8,1995,66.5
614150,Australia/South Pacific,New Zealand,,Auckland,2,9,1995,66.1
614151,Australia/South Pacific,New Zealand,,Auckland,2,10,1995,68.5
614152,Australia/South Pacific,New Zealand,,Auckland,2,11,1995,69.6
614153,Australia/South Pacific,New Zealand,,Auckland,2,12,1995,67.5
614154,Australia/South Pacific,New Zealand,,Auckland,2,13,1995,68.4
614155,Australia/South Pacific,New Zealand,,Auckland,2,14,1995,68.6
614156,Australia/South Pacific,New Zealand,,Auckland,2,15,1995,70.2
614157,Australia/South Pacific,New Zealand,,Auckland,2,16,1995,67.9
614158,Australia/South Pacific,New Zealand,,Auckland,2,17,1995,69.8
614159,Australia/South Pacific,New Zealand,,Auckland,2,18,1995,68.7
614160,Australia/South Pacific,New Zealand,,Auckland,2,19,1995,66.9
614161,Australia/South Pacific,New Zealand,,Auckland,2,20,1995,69.1
614162,Australia/South Pacific,New Zealand,,Auckland,2,21,1995,70.7
614163,Australia/South Pacific,New Zealand,,Auckland,2,22,1995,71.2
614164,Australia/South Pacific,New Zealand,,Auckland,2,23,1995,68.0
614165,Australia/South Pacific,New Zealand,,Auckland,2,24,1995,65.0
614166,Australia/South Pacific,New Zealand,,Auckland,2,25,1995,65.7
614167,Australia/South Pacific,New Zealand,,Auckland,2,26,1995,67.8
614168,Australia/South Pacific,New Zealand,,Auckland,2,27,1995,68.4
614169,Australia/South Pacific,New Zealand,,Auckland,2,28,1995,66.2
614170,Australia/South Pacific,New Zealand,,Auckland,3,1,1995,65.3
614171,Australia/South Pacific,New Zealand,,Auckland,3,2,1995,68.2
614172,Australia/South Pacific,New Zealand,,Auckland,3,3,1995,65.6
614173,Australia/South Pacific,New Zealand,,Auckland,3,4,1995,65.3
614174,Australia/South Pacific,New Zealand,,Auckland,3,5,1995,64.2
614175,Australia/South Pacific,New Zealand,,Auckland,3,6,1995,65.8
614176,Australia/South Pacific,New Zealand,,Auckland,3,7,1995,63.7
614177,Australia/South Pacific,New Zealand,,Auckland,3,8,1995,65.2
614178,Australia/South Pacific,New Zealand,,Auckland,3,9,1995,66.7
614179,Australia/South Pacific,New Zealand,,Auckland,3,10,1995,71.3
614180,Australia/South Pacific,New Zealand,,Auckland,3,11,1995,68.7
614181,Australia/South Pacific,New Zealand,,Auckland,3,12,1995,68.7
614182,Australia/South Pacific,New Zealand,,Auckland,3,13,1995,66.5
614183,Australia/South Pacific,New Zealand,,Auckland,3,14,1995,63.0
614184,Australia/South Pacific,New Zealand,,Auckland,3,15,1995,63.6
614185,Australia/South Pacific,New Zealand,,Auckland,3,16,1995,59.0
614186,Australia/South Pacific,New Zealand,,Auckland,3,17,1995,60.0
614187,Australia/South Pacific,New Zealand,,Auckland,3,18,1995,60.0
614188,Australia/South Pacific,New Zealand,,Auckland,3,19,1995,64.9
614189,Australia/South Pacific,New Zealand,,Auckland,3,20,1995,65.4
614190,Australia/South Pacific,New Zealand,,Auckland,3,21,1995,65.7
614191,Australia/South Pacific,New Zealand,,Auckland,3,22,1995,65.9
614192,Australia/South Pacific,New Zealand,,Auckland,3,23,1995,66.0
614193,Australia/South Pacific,New Zealand,,Auckland,3,24,1995,65.2
614194,Australia/South Pacific,New Zealand,,Auckland,3,25,1995,66.6
614195,Australia/South Pacific,New Zealand,,Auckland,3,26,1995,66.4
