,Region,Country,State,City,Month,Day,Year,AvgTemperature
165158,Africa,Nigeria,,Niamey,1,1,1995,74.0
165159,Africa,Nigeria,,Niamey,1,2,1995,74.6
165160,Africa,Nigeria,,Niamey,1,3,1995,65.3
165161,Africa,Nigeria,,Niamey,1,4,1995,73.0
165162,Africa,Nigeria,,Niamey,1,5,1995,71.1
165163,Africa,Nigeria,,Niamey,1,6,1995,74.0
165164,Africa,Nigeria,,Niamey,1,7,1995,68.4
165165,Africa,Nigeria,,Niamey,1,8,1995,69.0
165166,Africa,Nigeria,,Niamey,1,9,1995,73.5
165167,Africa,Nigeria,,Niamey,1,10,1995,68.8
165168,Africa,Nigeria,,Niamey,1,11,1995,72.2
165169,Africa,Nigeria,,Niamey,1,12,1995,66.2
165170,Africa,Nigeria,,Niamey,1,13,1995,67.1
165171,Africa,Nigeria,,Niamey,1,14,1995,71.5
165172,Africa,Nigeria,,Niamey,1,15,1995,74.5
165173,Africa,Nigeria,,Niamey,1,16,1995,76.6
165174,Africa,Nigeria,,Niamey,1,17,1995,74.2
165175,Africa,Nigeria,,Niamey,1,18,1995,72.1
165176,Africa,Nigeria,,Niamey,1,19,1995,71.3
165177,Africa,Nigeria,,Niamey,1,20,1995,72.9
165178,Africa,Nigeria,,Niamey,1,21,1995,73.1
165179,Africa,Nigeria,,Niamey,1,22,1995,77.5
165180,Africa,Nigeria,,Niamey,1,23,1995,72.6
165181,Africa,Nigeria,,Niamey,1,24,1995,72.5
165182,Africa,Nigeria,,Niamey,1,25,1995,71.2
165183,Africa,Nigeria,,Niamey,1,26,1995,69.9
165184,Africa,Nigeria,,Niamey,1,27,1995,71.1
165185,Africa,Nigeria,,Niamey,1,28,1995,76.2
165186,Africa,Nigeria,,Niamey,1,29,1995,76.6
165187,Africa,Nigeria,,Niamey,1,30,1995,76.0
165188,Africa,Nigeria,,Niamey,1,31,1995,75.6
165189,Africa,Nigeria,,Niamey,2,1,1995,76.0
165190,Africa,Nigeria,,Niamey,2,2,1995,75.7
165191,Africa,Nigeria,,Niamey,2,3,1995,73.9
165192,Africa,Nigeria,,Niamey,2,4,1995,76.2
165193,Africa,Nigeria,,Niamey,2,5,1995,77.3
165194,Africa,Nigeria,,Niamey,2,6,1995,75.5
165195,Africa,Nigeria,,Niamey,2,7,1995,75.9
165196,Africa,Nigeria,,Niamey,2,8,1995,74.5
165197,Africa,Nigeria,,Niamey,2,9,1995,77.0
165198,Africa,Nigeria,,Niamey,2,10,1995,78.4
165199,Africa,Nigeria,,Niamey,2,11,1995,78.8
165200,Africa,Nigeria,,Niamey,2,12,1995,73.7
165201,Africa,Nigeria,,Niamey,2,13,1995,72.3
165202,Africa,Nigeria,,Niamey,2,14,1995,74.3
165203,Africa,Nigeria,,Niamey,2,15,1995,77.7
165204,Africa,Nigeria,,Niamey,2,16,1995,77.4
165205,Africa,Nigeria,,Niamey,2,17,1995,77.7
165206,Africa,Nigeria,,Niamey,2,18,1995,78.1
165207,Africa,Nigeria,,Niamey,2,19,1995,78.4
165208,Africa,Nigeria,,Niamey,2,20,1995,79.2
165209,Africa,Nigeria,,Niamey,2,21,1995,79.4
165210,Africa,Nigeria,,Niamey,2,22,1995,81.0
165211,Africa,Nigeria,,Niamey,2,23,1995,78.7
165212,Africa,Nigeria,,Niamey,2,24,1995,78.7
165213,Africa,Nigeria,,Niamey,2,25,1995,81.2
165214,Africa,Nigeria,,Niamey,2,26,1995,82.0
165215,Africa,Nigeria,,Niamey,2,27,1995,84.1
165216,Africa,Nigeria,,Niamey,2,28,1995,84.7
165217,Africa,Nigeria,,Niamey,3,1,1995,87.3
165218,Africa,Nigeria,,Niamey,3,2,1995,85.9
165219,Africa,Nigeria,,Niamey,3,3,1995,85.8
165220,Africa,Nigeria,,Niamey,3,4,1995,82.9
165221,Africa,Nigeria,,Niamey,3,5,1995,93.4
165222,Africa,Nigeria,,Niamey,3,6,1995,90.4
165223,Africa,Nigeria,,Niamey,3,7,1995,86.5
165224,Africa,Nigeria,,Niamey,3,8,1995,90.8
165225,Africa,Nigeria,,Niamey,3,9,1995,90.3
165226,Africa,Nigeria,,Niamey,3,10,1995,90.5
165227,Africa,Nigeria,,Niamey,3,11,1995,91.3
165228,Africa,Nigeria,,Niamey,3,12,1995,90.9
165229,Africa,Nigeria,,Niamey,3,13,1995,93.9
165230,Africa,Nigeria,,Niamey,3,14,1995,92.2
165231,Africa,Nigeria,,Niamey,3,15,1995,93.7
165232,Africa,Nigeria,,Niamey,3,16,1995,90.7
165233,Africa,Nigeria,,Niamey,3,17,1995,94.0
165234,Africa,Nigeria,,Niamey,3,18,1995,91.9
165235,Africa,Nigeria,,Niamey,3,19,1995,-99.0
165236,Africa,Nigeria,,Niamey,3,20,1995,-99.0
165237,Africa,Nigeria,,Niamey,3,21,1995,-99.0
165238,Africa,Nigeria,,Niamey,3,22,1995,97.6
165239,Africa,Nigeria,,Niamey,3,23,1995,90.4
165240,Africa,Nigeria,,Niamey,3,24,1995,90.5
165241,Africa,Nigeria,,Niamey,3,25,1995,90.1
165242,Africa,Nigeria,,Niamey,3,26,1995,88.4
165243,Africa,Nigeria,,Niamey,3,27,1995,89.4
165244,Africa,Nigeria,,Niamey,3,28,1995,87.6
165245,Africa,Nigeria,,Niamey,3,29,1995,89.0
165246,Africa,Nigeria,,Niamey,3,30,1995,93.2
165247,Africa,Nigeria,,Niamey,3,31,1995,92.4
165248,Africa,Nigeria,,Niamey,4,1,1995,92.4
165249,Africa,Nigeria,,Niamey,4,2,1995,95.0
165250,Africa,Nigeria,,Niamey,4,3,1995,94.1
165251,Africa,Nigeria,,Niamey,4,4,1995,94.8
165252,Africa,Nigeria,,Niamey,4,5,1995,93.9
165253,Africa,Nigeria,,Niamey,4,6,1995,93.7
165254,Africa,Nigeria,,Niamey,4,7,1995,94.6
165255,Africa,Nigeria,,Niamey,4,8,1995,90.5
165256,Africa,Nigeria,,Niamey,4,9,1995,91.2
165257,Africa,Nigeria,,Niamey,4,10,1995,95.4
165258,Africa,Nigeria,,Niamey,4,11,1995,94.3
165259,Africa,Nigeria,,Niamey,4,12,1995,94.8
165260,Africa,Nigeria,,Niamey,4,13,1995,95.9
165261,Africa,Nigeria,,Niamey,4,14,1995,92.9
165262,Africa,Nigeria,,Niamey,4,15,1995,95.3
165263,Africa,Nigeria,,Niamey,4,16,1995,88.6
165264,Africa,Nigeria,,Niamey,4,17,1995,86.4
