,Region,Country,State,City,Month,Day,Year,AvgTemperature
840814,Europe,Norway,,Oslo,1,1,1995,24.0
840815,Europe,Norway,,Oslo,1,2,1995,22.4
840816,Europe,Norway,,Oslo,1,3,1995,9.3
840817,Europe,Norway,,Oslo,1,4,1995,6.1
840818,Europe,Norway,,Oslo,1,5,1995,26.2
840819,Europe,Norway,,Oslo,1,6,1995,24.8
840820,Europe,Norway,,Oslo,1,7,1995,27.9
840821,Europe,Norway,,Oslo,1,8,1995,33.0
840822,Europe,Norway,,Oslo,1,9,1995,31.4
840823,Europe,Norway,,Oslo,1,10,1995,29.4
840824,Europe,Norway,,Oslo,1,11,1995,23.0
840825,Europe,Norway,,Oslo,1,12,1995,20.4
840826,Europe,Norway,,Oslo,1,13,1995,19.7
840827,Europe,Norway,,Oslo,1,14,1995,35.2
840828,Europe,Norway,,Oslo,1,15,1995,27.1
840829,Europe,Norway,,Oslo,1,16,1995,37.0
840830,Europe,Norway,,Oslo,1,17,1995,33.8
840831,Europe,Norway,,Oslo,1,18,1995,31.9
840832,Europe,Norway,,Oslo,1,19,1995,28.6
840833,Europe,Norway,,Oslo,1,20,1995,29.7
840834,Europe,Norway,,Oslo,1,21,1995,33.2
840835,Europe,Norway,,Oslo,1,22,1995,31.4
840836,Europe,Norway,,Oslo,1,23,1995,24.7
840837,Europe,Norway,,Oslo,1,24,1995,14.5
840838,Europe,Norway,,Oslo,1,25,1995,11.9
840839,Europe,Norway,,Oslo,1,26,1995,6.6
840840,Europe,Norway,,Oslo,1,27,1995,4.8
840841,Europe,Norway,,Oslo,1,28,1995,5.0
840842,Europe,Norway,,Oslo,1,29,1995,0.8
840843,Europe,Norway,,Oslo,1,30,1995,1.2
840844,Europe,Norway,,Oslo,1,31,1995,9.9
840845,Europe,Norway,,Oslo,2,1,1995,30.8
840846,Europe,Norway,,Oslo,2,2,1995,25.9
840847,Europe,Norway,,Oslo,2,3,1995,22.7
840848,Europe,Norway,,Oslo,2,4,1995,36.1
840849,Europe,Norway,,Oslo,2,5,1995,34.0
840850,Europe,Norway,,Oslo,2,6,1995,36.6
840851,Europe,Norway,,Oslo,2,7,1995,25.1
840852,Europe,Norway,,Oslo,2,8,1995,21.6
840853,Europe,Norway,,Oslo,2,9,1995,23.3
840854,Europe,Norway,,Oslo,2,10,1995,18.3
840855,Europe,Norway,,Oslo,2,11,1995,5.4
840856,Europe,Norway,,Oslo,2,12,1995,19.9
840857,Europe,Norway,,Oslo,2,13,1995,29.3
840858,Europe,Norway,,Oslo,2,14,1995,35.1
840859,Europe,Norway,,Oslo,2,15,1995,34.9
840860,Europe,Norway,,Oslo,2,16,1995,36.2
840861,Europe,Norway,,Oslo,2,17,1995,32.6
840862,Europe,Norway,,Oslo,2,18,1995,25.9
840863,Europe,Norway,,Oslo,2,19,1995,24.1
840864,Europe,Norway,,Oslo,2,20,1995,28.8
840865,Europe,Norway,,Oslo,2,21,1995,29.0
840866,Europe,Norway,,Oslo,2,22,1995,30.5
840867,Europe,Norway,,Oslo,2,23,1995,34.0
840868,Europe,Norway,,Oslo,2,24,1995,28.4
840869,Europe,Norway,,Oslo,2,25,1995,22.0
840870,Europe,Norway,,Oslo,2,26,1995,17.7
840871,Europe,Norway,,Oslo,2,27,1995,18.8
840872,Europe,Norway,,Oslo,2,28,1995,36.9
840873,Europe,Norway,,Oslo,3,1,1995,34.5
840874,Europe,Norway,,Oslo,3,2,1995,25.8
840875,Europe,Norway,,Oslo,3,3,1995,23.6
840876,Europe,Norway,,Oslo,3,4,1995,25.5
840877,Europe,Norway,,Oslo,3,5,1995,20.2
840878,Europe,Norway,,Oslo,3,6,1995,30.0
840879,Europe,Norway,,Oslo,3,7,1995,30.9
840880,Europe,Norway,,Oslo,3,8,1995,32.9
840881,Europe,Norway,,Oslo,3,9,1995,28.0
840882,Europe,Norway,,Oslo,3,10,1995,28.4
840883,Europe,Norway,,Oslo,3,11,1995,31.6
840884,Europe,Norway,,Oslo,3,12,1995,31.6
840885,Europe,Norway,,Oslo,3,13,1995,34.2
840886,Europe,Norway,,Oslo,3,14,1995,30.0
840887,Europe,Norway,,Oslo,3,15,1995,26.5
840888,Europe,Norway,,Oslo,3,16,1995,27.9
840889,Europe,Norway,,Oslo,3,17,1995,32.4
