,Region,Country,State,City,Month,Day,Year,AvgTemperature
878256,Europe,Russia,,Moscow,1,1,1995,32.3
878257,Europe,Russia,,Moscow,1,2,1995,31.7
878258,Europe,Russia,,Moscow,1,3,1995,26.8
878259,Europe,Russia,,Moscow,1,4,1995,15.9
878260,Europe,Russia,,Moscow,1,5,1995,23.8
878261,Europe,Russia,,Moscow,1,6,1995,15.3
878262,Europe,Russia,,Moscow,1,7,1995,15.1
878263,Europe,Russia,,Moscow,1,8,1995,18.1
878264,Europe,Russia,,Moscow,1,9,1995,16.0
878265,Europe,Russia,,Moscow,1,10,1995,9.1
878266,Europe,Russia,,Moscow,1,11,1995,20.3
878267,Europe,Russia,,Moscow,1,12,1995,23.9
878268,Europe,Russia,,Moscow,1,13,1995,25.0
878269,Europe,Russia,,Moscow,1,14,1995,22.4
878270,Europe,Russia,,Moscow,1,15,1995,17.4
878271,Europe,Russia,,Moscow,1,16,1995,15.3
878272,Europe,Russia,,Moscow,1,17,1995,9.7
878273,Europe,Russia,,Moscow,1,18,1995,7.6
878274,Europe,Russia,,Moscow,1,19,1995,8.7
878275,Europe,Russia,,Moscow,1,20,1995,8.1
878276,Europe,Russia,,Moscow,1,21,1995,4.8
878277,Europe,Russia,,Moscow,1,22,1995,4.0
878278,Europe,Russia,,Moscow,1,23,1995,11.3
878279,Europe,Russia,,Moscow,1,24,1995,21.6
878280,Europe,Russia,,Moscow,1,25,1995,27.7
878281,Europe,Russia,,Moscow,1,26,1995,28.1
878282,Europe,Russia,,Moscow,1,27,1995,32.7
878283,Europe,Russia,,Moscow,1,28,1995,28.6
878284,Europe,Russia,,Moscow,1,29,1995,27.1
878285,Europe,Russia,,Moscow,1,30,1995,33.6
878286,Europe,Russia,,Moscow,1,31,1995,31.7
878287,Europe,Russia,,Moscow,2,1,1995,16.9
878288,Europe,Russia,,Moscow,2,2,1995,27.3
878289,Europe,Russia,,Moscow,2,3,1995,27.4
878290,Europe,Russia,,Moscow,2,4,1995,18.3
878291,Europe,Russia,,Moscow,2,5,1995,27.0
878292,Europe,Russia,,Moscow,2,6,1995,29.5
878293,Europe,Russia,,Moscow,2,7,1995,31.9
878294,Europe,Russia,,Moscow,2,8,1995,22.5
878295,Europe,Russia,,Moscow,2,9,1995,21.6
878296,Europe,Russia,,Moscow,2,10,1995,20.4
878297,Europe,Russia,,Moscow,2,11,1995,26.2
878298,Europe,Russia,,Moscow,2,12,1995,24.1
878299,Europe,Russia,,Moscow,2,13,1995,28.9
878300,Europe,Russia,,Moscow,2,14,1995,34.0
878301,Europe,Russia,,Moscow,2,15,1995,33.5
878302,Europe,Russia,,Moscow,2,16,1995,32.6
878303,Europe,Russia,,Moscow,2,17,1995,32.1
878304,Europe,Russia,,Moscow,2,18,1995,33.4
878305,Europe,Russia,,Moscow,2,19,1995,33.6
878306,Europe,Russia,,Moscow,2,20,1995,29.4
878307,Europe,Russia,,Moscow,2,21,1995,26.6
878308,Europe,Russia,,Moscow,2,22,1995,32.0
878309,Europe,Russia,,Moscow,2,23,1995,34.9
878310,Europe,Russia,,Moscow,2,24,1995,33.6
878311,Europe,Russia,,Moscow,2,25,1995,33.9
878312,Europe,Russia,,Moscow,2,26,1995,33.7
878313,Europe,Russia,,Moscow,2,27,1995,32.1
878314,Europe,Russia,,Moscow,2,28,1995,28.9
878315,Europe,Russia,,Moscow,3,1,1995,34.9
878316,Europe,Russia,,Moscow,3,2,1995,38.3
878317,Europe,Russia,,Moscow,3,3,1995,37.0
878318,Europe,Russia,,Moscow,3,4,1995,36.8
878319,Europe,Russia,,Moscow,3,5,1995,39.7
878320,Europe,Russia,,Moscow,3,6,1995,38.0
878321,Europe,Russia,,Moscow,3,7,1995,35.4
878322,Europe,Russia,,Moscow,3,8,1995,32.6
878323,Europe,Russia,,Moscow,3,9,1995,34.8
878324,Europe,Russia,,Moscow,3,10,1995,35.9
878325,Europe,Russia,,Moscow,3,11,1995,28.9
878326,Europe,Russia,,Moscow,3,12,1995,17.0
878327,Europe,Russia,,Moscow,3,13,1995,15.3
878328,Europe,Russia,,Moscow,3,14,1995,23.6
878329,Europe,Russia,,Moscow,3,15,1995,25.4
878330,Europe,Russia,,Moscow,3,16,1995,22.7
878331,Europe,Russia,,Moscow,3,17,1995,27.6
878332,Europe,Russia,,Moscow,3,18,1995,28.2
878333,Europe,Russia,,Moscow,3,19,1995,31.7
878334,Europe,Russia,,Moscow,3,20,1995,32.8
878335,Europe,Russia,,Moscow,3,21,1995,36.3
878336,Europe,Russia,,Moscow,3,22,1995,32.4
878337,Europe,Russia,,Moscow,3,23,1995,31.3
878338,Europe,Russia,,Moscow,3,24,1995,36.1
878339,Europe,Russia,,Moscow,3,25,1995,37.3
878340,Europe,Russia,,Moscow,3,26,1995,34.6
878341,Europe,Russia,,Moscow,3,27,1995,31.7
878342,Europe,Russia,,Moscow,3,28,1995,33.4
878343,Europe,Russia,,Moscow,3,29,1995,28.1
878344,Europe,Russia,,Moscow,3,30,1995,31.0
878345,Europe,Russia,,Moscow,3,31,1995,33.6
878346,Europe,Russia,,Moscow,4,1,1995,31.1
878347,Europe,Russia,,Moscow,4,2,1995,30.6
878348,Europe,Russia,,Moscow,4,3,1995,32.6
878349,Europe,Russia,,Moscow,4,4,1995,32.2
878350,Europe,Russia,,Moscow,4,5,1995,33.4
878351,Europe,Russia,,Moscow,4,6,1995,32.7
878352,Europe,Russia,,Moscow,4,7,1995,33.3
878353,Europe,Russia,,Moscow,4,8,1995,35.4
878354,Europe,Russia,,Moscow,4,9,1995,35.9
878355,Europe,Russia,,Moscow,4,10,1995,37.7
878356,Europe,Russia,,Moscow,4,11,1995,52.7
878357,Europe,Russia,,Moscow,4,12,1995,45.9
878358,Europe,Russia,,Moscow,4,13,1995,42.3
878359,Europe,Russia,,Moscow,4,14,1995,37.9
878360,Europe,Russia,,Moscow,4,15,1995,43.7
878361,Europe,Russia,,Moscow,4,16,1995,46.3
878362,Europe,Russia,,Moscow,4,17,1995,48.9
878363,Europe,Russia,,Moscow,4,18,1995,57.5
878364,Europe,Russia,,Moscow,4,19,1995,62.0
878365,Europe,Russia,,Moscow,4,20,1995,62.5
878366,Europe,Russia,,Moscow,4,21,1995,59.8
878367,Europe,Russia,,Moscow,4,22,1995,62.3
878368,Europe,Russia,,Moscow,4,23,1995,63.3
878369,Europe,Russia,,Moscow,4,24,1995,64.3
878370,Europe,Russia,,Moscow,4,25,1995,64.9
878371,Europe,Russia,,Moscow,4,26,1995,57.9
878372,Europe,Russia,,Moscow,4,27,1995,54.7
878373,Europe,Russia,,Moscow,4,28,1995,56.1
878374,Europe,Russia,,Moscow,4,29,1995,49.9
878375,Europe,Russia,,Moscow,4,30,1995,39.4
878376,Europe,Russia,,Moscow,5,1,1995,36.6
878377,Europe,Russia,,Moscow,5,2,1995,31.3
878378,Europe,Russia,,Moscow,5,3,1995,39.6
878379,Europe,Russia,,Moscow,5,4,1995,47.3
878380,Europe,Russia,,Moscow,5,5,1995,47.6
878381,Europe,Russia,,Moscow,5,6,1995,45.9
878382,Europe,Russia,,Moscow,5,7,1995,51.4
878383,Europe,Russia,,Moscow,5,8,1995,51.9
878384,Europe,Russia,,Moscow,5,9,1995,51.9
878385,Europe,Russia,,Moscow,5,10,1995,44.5
878386,Europe,Russia,,Moscow,5,11,1995,38.4
878387,Europe,Russia,,Moscow,5,12,1995,45.0
878388,Europe,Russia,,Moscow,5,13,1995,54.1
878389,Europe,Russia,,Moscow,5,14,1995,63.9
878390,Europe,Russia,,Moscow,5,15,1995,65.1
878391,Europe,Russia,,Moscow,5,16,1995,44.8
878392,Europe,Russia,,Moscow,5,17,1995,50.2
878393,Europe,Russia,,Moscow,5,18,1995,57.1
878394,Europe,Russia,,Moscow,5,19,1995,61.3
878395,Europe,Russia,,Moscow,5,20,1995,60.6
878396,Europe,Russia,,Moscow,5,21,1995,67.1
878397,Europe,Russia,,Moscow,5,22,1995,65.8
878398,Europe,Russia,,Moscow,5,23,1995,60.0
878399,Europe,Russia,,Moscow,5,24,1995,66.2
878400,Europe,Russia,,Moscow,5,25,1995,72.3
878401,Europe,Russia,,Moscow,5,26,1995,72.2
878402,Europe,Russia,,Moscow,5,27,1995,72.3
878403,Europe,Russia,,Moscow,5,28,1995,72.8
878404,Europe,Russia,,Moscow,5,29,1995,73.7
878405,Europe,Russia,,Moscow,5,30,1995,70.6
878406,Europe,Russia,,Moscow,5,31,1995,71.5
878407,Europe,Russia,,Moscow,6,1,1995,72.6
878408,Europe,Russia,,Moscow,6,2,1995,70.3
878409,Europe,Russia,,Moscow,6,3,1995,72.5
878410,Europe,Russia,,Moscow,6,4,1995,69.5
