,Region,Country,State,City,Month,Day,Year,AvgTemperature
487505,Asia,Singapore,,Singapore,1,1,1995,81.1
487506,Asia,Singapore,,Singapore,1,2,1995,81.7
487507,Asia,Singapore,,Singapore,1,3,1995,82.4
487508,Asia,Singapore,,Singapore,1,4,1995,82.6
487509,Asia,Singapore,,Singapore,1,5,1995,82.4
487510,Asia,Singapore,,Singapore,1,6,1995,80.0
487511,Asia,Singapore,,Singapore,1,7,1995,77.7
487512,Asia,Singapore,,Singapore,1,8,1995,79.4
487513,Asia,Singapore,,Singapore,1,9,1995,81.5
487514,Asia,Singapore,,Singapore,1,10,1995,80.2
487515,Asia,Singapore,,Singapore,1,11,1995,78.6
487516,Asia,Singapore,,Singapore,1,12,1995,81.4
487517,Asia,Singapore,,Singapore,1,13,1995,81.7
487518,Asia,Singapore,,Singapore,1,14,1995,80.7
487519,Asia,Singapore,,Singapore,1,15,1995,81.4
487520,Asia,Singapore,,Singapore,1,16,1995,81.2
487521,Asia,Singapore,,Singapore,1,17,1995,82.2
487522,Asia,Singapore,,Singapore,1,18,1995,80.6
487523,Asia,Singapore,,Singapore,1,19,1995,74.1
487524,Asia,Singapore,,Singapore,1,20,1995,79.0
487525,Asia,Singapore,,Singapore,1,21,1995,79.6
487526,Asia,Singapore,,Singapore,1,22,1995,79.5
487527,Asia,Singapore,,Singapore,1,23,1995,77.7
487528,Asia,Singapore,,Singapore,1,24,1995,80.8
487529,Asia,Singapore,,Singapore,1,25,1995,79.6
487530,Asia,Singapore,,Singapore,1,26,1995,80.8
487531,Asia,Singapore,,Singapore,1,27,1995,80.6
487532,Asia,Singapore,,Singapore,1,28,1995,80.9
487533,Asia,Singapore,,Singapore,1,29,1995,80.5
487534,Asia,Singapore,,Singapore,1,30,1995,81.5
487535,Asia,Singapore,,Singapore,1,31,1995,79.5
487536,Asia,Singapore,,Singapore,2,1,1995,80.8
487537,Asia,Singapore,,Singapore,2,2,1995,79.6
487538,Asia,Singapore,,Singapore,2,3,1995,77.2
487539,Asia,Singapore,,Singapore,2,4,1995,75.5
487540,Asia,Singapore,,Singapore,2,5,1995,75.6
487541,Asia,Singapore,,Singapore,2,6,1995,75.8
487542,Asia,Singapore,,Singapore,2,7,1995,79.0
487543,Asia,Singapore,,Singapore,2,8,1995,80.2
487544,Asia,Singapore,,Singapore,2,9,1995,80.5
487545,Asia,Singapore,,Singapore,2,10,1995,80.5
487546,Asia,Singapore,,Singapore,2,11,1995,81.8
487547,Asia,Singapore,,Singapore,2,12,1995,79.9
487548,Asia,Singapore,,Singapore,2,13,1995,76.9
487549,Asia,Singapore,,Singapore,2,14,1995,81.5
487550,Asia,Singapore,,Singapore,2,15,1995,81.8
487551,Asia,Singapore,,Singapore,2,16,1995,82.4
487552,Asia,Singapore,,Singapore,2,17,1995,80.1
487553,Asia,Singapore,,Singapore,2,18,1995,81.8
487554,Asia,Singapore,,Singapore,2,19,1995,81.1
487555,Asia,Singapore,,Singapore,2,20,1995,77.9
487556,Asia,Singapore,,Singapore,2,21,1995,78.8
487557,Asia,Singapore,,Singapore,2,22,1995,80.6
487558,Asia,Singapore,,Singapore,2,23,1995,81.4
487559,Asia,Singapore,,Singapore,2,24,1995,81.3
487560,Asia,Singapore,,Singapore,2,25,1995,76.2
487561,Asia,Singapore,,Singapore,2,26,1995,80.6
487562,Asia,Singapore,,Singapore,2,27,1995,81.2
487563,Asia,Singapore,,Singapore,2,28,1995,81.4
487564,Asia,Singapore,,Singapore,3,1,1995,79.9
487565,Asia,Singapore,,Singapore,3,2,1995,77.4
487566,Asia,Singapore,,Singapore,3,3,1995,80.8
487567,Asia,Singapore,,Singapore,3,4,1995,81.6
487568,Asia,Singapore,,Singapore,3,5,1995,81.7
487569,Asia,Singapore,,Singapore,3,6,1995,81.6
487570,Asia,Singapore,,Singapore,3,7,1995,81.8
487571,Asia,Singapore,,Singapore,3,8,1995,81.5
487572,Asia,Singapore,,Singapore,3,9,1995,81.8
487573,Asia,Singapore,,Singapore,3,10,1995,82.1
487574,Asia,Singapore,,Singapore,3,11,1995,82.8
487575,Asia,Singapore,,Singapore,3,12,1995,80.2
487576,Asia,Singapore,,Singapore,3,13,1995,82.2
487577,Asia,Singapore,,Singapore,3,14,1995,82.3
487578,Asia,Singapore,,Singapore,3,15,1995,83.2
487579,Asia,Singapore,,Singapore,3,16,1995,83.5
487580,Asia,Singapore,,Singapore,3,17,1995,83.1
487581,Asia,Singapore,,Singapore,3,18,1995,81.7
487582,Asia,Singapore,,Singapore,3,19,1995,82.3
487583,Asia,Singapore,,Singapore,3,20,1995,83.6
487584,Asia,Singapore,,Singapore,3,21,1995,82.8
487585,Asia,Singapore,,Singapore,3,22,1995,81.0
487586,Asia,Singapore,,Singapore,3,23,1995,82.0
487587,Asia,Singapore,,Singapore,3,24,1995,84.5
487588,Asia,Singapore,,Singapore,3,25,1995,81.4
487589,Asia,Singapore,,Singapore,3,26,1995,82.1
487590,Asia,Singapore,,Singapore,3,27,1995,80.0
487591,Asia,Singapore,,Singapore,3,28,1995,83.6
487592,Asia,Singapore,,Singapore,3,29,1995,80.3
487593,Asia,Singapore,,Singapore,3,30,1995,80.4
487594,Asia,Singapore,,Singapore,3,31,1995,81.4
487595,Asia,Singapore,,Singapore,4,1,1995,81.7
487596,Asia,Singapore,,Singapore,4,2,1995,84.0
487597,Asia,Singapore,,Singapore,4,3,1995,84.7
487598,Asia,Singapore,,Singapore,4,4,1995,81.3
487599,Asia,Singapore,,Singapore,4,5,1995,83.3
487600,Asia,Singapore,,Singapore,4,6,1995,82.1
487601,Asia,Singapore,,Singapore,4,7,1995,81.6
487602,Asia,Singapore,,Singapore,4,8,1995,83.2
487603,Asia,Singapore,,Singapore,4,9,1995,84.3
487604,Asia,Singapore,,Singapore,4,10,1995,82.1
487605,Asia,Singapore,,Singapore,4,11,1995,81.5
487606,Asia,Singapore,,Singapore,4,12,1995,81.5
487607,Asia,Singapore,,Singapore,4,13,1995,84.2
487608,Asia,Singapore,,Singapore,4,14,1995,82.7
487609,Asia,Singapore,,Singapore,4,15,1995,83.2
487610,Asia,Singapore,,Singapore,4,16,1995,83.5
487611,Asia,Singapore,,Singapore,4,17,1995,81.5
