,Region,Country,State,City,Month,Day,Year,AvgTemperature
197797,Africa,South Africa,,Capetown,1,1,1995,66.8
197798,Africa,South Africa,,Capetown,1,2,1995,67.8
197799,Africa,South Africa,,Capetown,1,3,1995,66.9
197800,Africa,South Africa,,Capetown,1,4,1995,69.5
197801,Africa,South Africa,,Capetown,1,5,1995,70.6
197802,Africa,South Africa,,Capetown,1,6,1995,69.1
197803,Africa,South Africa,,Capetown,1,7,1995,66.2
197804,Africa,South Africa,,Capetown,1,8,1995,66.8
197805,Africa,South Africa,,Capetown,1,9,1995,71.0
197806,Africa,South Africa,,Capetown,1,10,1995,74.1
197807,Africa,South Africa,,Capetown,1,11,1995,73.9
197808,Africa,South Africa,,Capetown,1,12,1995,68.4
197809,Africa,South Africa,,Capetown,1,13,1995,70.2
197810,Africa,South Africa,,Capetown,1,14,1995,71.4
197811,Africa,South Africa,,Capetown,1,15,1995,76.9
197812,Africa,South Africa,,Capetown,1,16,1995,72.7
197813,Africa,South Africa,,Capetown,1,17,1995,71.3
197814,Africa,South Africa,,Capetown,1,18,1995,67.5
197815,Africa,South Africa,,Capetown,1,19,1995,70.5
197816,Africa,South Africa,,Capetown,1,20,1995,72.4
197817,Africa,South Africa,,Capetown,1,21,1995,71.0
197818,Africa,South Africa,,Capetown,1,22,1995,68.4
197819,Africa,South Africa,,Capetown,1,23,1995,73.2
197820,Africa,South Africa,,Capetown,1,24,1995,69.4
197821,Africa,South Africa,,Capetown,1,25,1995,67.1
197822,Africa,South Africa,,Capetown,1,26,1995,67.7
197823,Africa,South Africa,,Capetown,1,27,1995,67.6
197824,Africa,South Africa,,Capetown,1,28,1995,65.8
197825,Africa,South Africa,,Capetown,1,29,1995,65.9
197826,Africa,South Africa,,Capetown,1,30,1995,66.8
197827,Africa,South Africa,,Capetown,1,31,1995,67.0
197828,Africa,South Africa,,Capetown,2,1,1995,65.9
197829,Africa,South Africa,,Capetown,2,2,1995,70.0
197830,Africa,South Africa,,Capetown,2,3,1995,71.0
197831,Africa,South Africa,,Capetown,2,4,1995,76.0
197832,Africa,South Africa,,Capetown,2,5,1995,75.0
197833,Africa,South Africa,,Capetown,2,6,1995,71.2
197834,Africa,South Africa,,Capetown,2,7,1995,69.8
197835,Africa,South Africa,,Capetown,2,8,1995,70.6
197836,Africa,South Africa,,Capetown,2,9,1995,74.9
197837,Africa,South Africa,,Capetown,2,10,1995,71.0
197838,Africa,South Africa,,Capetown,2,11,1995,68.4
197839,Africa,South Africa,,Capetown,2,12,1995,70.6
197840,Africa,South Africa,,Capetown,2,13,1995,68.6
197841,Africa,South Africa,,Capetown,2,14,1995,68.6
197842,Africa,South Africa,,Capetown,2,15,1995,67.0
197843,Africa,South Africa,,Capetown,2,16,1995,69.6
197844,Africa,South Africa,,Capetown,2,17,1995,74.5
197845,Africa,South Africa,,Capetown,2,18,1995,69.6
197846,Africa,South Africa,,Capetown,2,19,1995,68.8
197847,Africa,South Africa,,Capetown,2,20,1995,64.7
197848,Africa,South Africa,,Capetown,2,21,1995,65.9
197849,Africa,South Africa,,Capetown,2,22,1995,68.2
197850,Africa,South Africa,,Capetown,2,23,1995,69.1
197851,Africa,South Africa,,Capetown,2,24,1995,72.3
197852,Africa,South Africa,,Capetown,2,25,1995,73.4
197853,Africa,South Africa,,Capetown,2,26,1995,70.8
197854,Africa,South Africa,,Capetown,2,27,1995,67.2
197855,Africa,South Africa,,Capetown,2,28,1995,68.0
197856,Africa,South Africa,,Capetown,3,1,1995,73.7
197857,Africa,South Africa,,Capetown,3,2,1995,73.4
197858,Africa,South Africa,,Capetown,3,3,1995,69.4
197859,Africa,South Africa,,Capetown,3,4,1995,67.5
197860,Africa,South Africa,,Capetown,3,5,1995,68.4
197861,Africa,South Africa,,Capetown,3,6,1995,68.8
197862,Africa,South Africa,,Capetown,3,7,1995,73.3
197863,Africa,South Africa,,Capetown,3,8,1995,67.0
197864,Africa,South Africa,,Capetown,3,9,1995,71.3
197865,Africa,South Africa,,Capetown,3,10,1995,74.7
197866,Africa,South Africa,,Capetown,3,11,1995,66.5
197867,Africa,South Africa,,Capetown,3,12,1995,65.1
197868,Africa,South Africa,,Capetown,3,13,1995,67.9
197869,Africa,South Africa,,Capetown,3,14,1995,71.6
197870,Africa,South Africa,,Capetown,3,15,1995,73.2
197871,Africa,South Africa,,Capetown,3,16,1995,73.0
197872,Africa,South Africa,,Capetown,3,17,1995,69.9
197873,Africa,South Africa,,Capetown,3,18,1995,63.4
197874,Africa,South Africa,,Capetown,3,19,1995,62.4
197875,Africa,South Africa,,Capetown,3,20,1995,64.9
197876,Africa,South Africa,,Capetown,3,21,1995,67.1
197877,Africa,South Africa,,Capetown,3,22,1995,68.9
197878,Africa,South Africa,,Capetown,3,23,1995,68.2
197879,Africa,South Africa,,Capetown,3,24,1995,70.3
197880,Africa,South Africa,,Capetown,3,25,1995,63.6
197881,Africa,South Africa,,Capetown,3,26,1995,62.9
197882,Africa,South Africa,,Capetown,3,27,1995,69.9
197883,Africa,South Africa,,Capetown,3,28,1995,66.6
197884,Africa,South Africa,,Capetown,3,29,1995,61.0
197885,Africa,South Africa,,Capetown,3,30,1995,62.5
197886,Africa,South Africa,,Capetown,3,31,1995,60.9
197887,Africa,South Africa,,Capetown,4,1,1995,65.9
197888,Africa,South Africa,,Capetown,4,2,1995,63.3
197889,Africa,South Africa,,Capetown,4,3,1995,64.4
197890,Africa,South Africa,,Capetown,4,4,1995,64.2
197891,Africa,South Africa,,Capetown,4,5,1995,61.5
197892,Africa,South Africa,,Capetown,4,6,1995,65.5
197893,Africa,South Africa,,Capetown,4,7,1995,63.4
197894,Africa,South Africa,,Capetown,4,8,1995,59.2
197895,Africa,South Africa,,Capetown,4,9,1995,62.6
197896,Africa,South Africa,,Capetown,4,10,1995,65.5
197897,Africa,South Africa,,Capetown,4,11,1995,62.6
197898,Africa,South Africa,,Capetown,4,12,1995,62.7
197899,Africa,South Africa,,Capetown,4,13,1995,57.7
197900,Africa,South Africa,,Capetown,4,14,1995,61.0
197901,Africa,South Africa,,Capetown,4,15,1995,56.8
197902,Africa,South Africa,,Capetown,4,16,1995,55.6
197903,Africa,South Africa,,Capetown,4,17,1995,57.2
197904,Africa,South Africa,,Capetown,4,18,1995,59.0
197905,Africa,South Africa,,Capetown,4,19,1995,56.6
197906,Africa,South Africa,,Capetown,4,20,1995,58.6
197907,Africa,South Africa,,Capetown,4,21,1995,59.3
197908,Africa,South Africa,,Capetown,4,22,1995,59.6
197909,Africa,South Africa,,Capetown,4,23,1995,59.0
197910,Africa,South Africa,,Capetown,4,24,1995,58.3
197911,Africa,South Africa,,Capetown,4,25,1995,54.7
197912,Africa,South Africa,,Capetown,4,26,1995,54.3
197913,Africa,South Africa,,Capetown,4,27,1995,56.5
197914,Africa,South Africa,,Capetown,4,28,1995,59.4
197915,Africa,South Africa,,Capetown,4,29,1995,59.2
197916,Africa,South Africa,,Capetown,4,30,1995,60.7
197917,Africa,South Africa,,Capetown,5,1,1995,60.2
197918,Africa,South Africa,,Capetown,5,2,1995,58.1
197919,Africa,South Africa,,Capetown,5,3,1995,61.1
197920,Africa,South Africa,,Capetown,5,4,1995,59.9
197921,Africa,South Africa,,Capetown,5,5,1995,56.3
197922,Africa,South Africa,,Capetown,5,6,1995,57.5
197923,Africa,South Africa,,Capetown,5,7,1995,56.5
197924,Africa,South Africa,,Capetown,5,8,1995,59.4
197925,Africa,South Africa,,Capetown,5,9,1995,58.7
197926,Africa,South Africa,,Capetown,5,10,1995,55.4
197927,Africa,South Africa,,Capetown,5,11,1995,58.2
197928,Africa,South Africa,,Capetown,5,12,1995,60.3
197929,Africa,South Africa,,Capetown,5,13,1995,57.7
197930,Africa,South Africa,,Capetown,5,14,1995,63.6
197931,Africa,South Africa,,Capetown,5,15,1995,63.9
197932,Africa,South Africa,,Capetown,5,16,1995,60.6
197933,Africa,South Africa,,Capetown,5,17,1995,60.0
197934,Africa,South Africa,,Capetown,5,18,1995,59.9
197935,Africa,South Africa,,Capetown,5,19,1995,67.1
197936,Africa,South Africa,,Capetown,5,20,1995,58.3
197937,Africa,South Africa,,Capetown,5,21,1995,51.3
197938,Africa,South Africa,,Capetown,5,22,1995,51.1
197939,Africa,South Africa,,Capetown,5,23,1995,55.9
197940,Africa,South Africa,,Capetown,5,24,1995,58.7
197941,Africa,South Africa,,Capetown,5,25,1995,56.4
197942,Africa,South Africa,,Capetown,5,26,1995,58.2
197943,Africa,South Africa,,Capetown,5,27,1995,60.6
197944,Africa,South Africa,,Capetown,5,28,1995,63.5
197945,Africa,South Africa,,Capetown,5,29,1995,62.0
197946,Africa,South Africa,,Capetown,5,30,1995,57.3
197947,Africa,South Africa,,Capetown,5,31,1995,50.7
197948,Africa,South Africa,,Capetown,6,1,1995,50.0
197949,Africa,South Africa,,Capetown,6,2,1995,52.3
197950,Africa,South Africa,,Capetown,6,3,1995,60.9
197951,Africa,South Africa,,Capetown,6,4,1995,55.6
197952,Africa,South Africa,,Capetown,6,5,1995,48.9
197953,Africa,South Africa,,Capetown,6,6,1995,51.4
197954,Africa,South Africa,,Capetown,6,7,1995,53.8
197955,Africa,South Africa,,Capetown,6,8,1995,58.3
197956,Africa,South Africa,,Capetown,6,9,1995,57.8
