,Region,Country,State,City,Month,Day,Year,AvgTemperature
903441,Europe,Spain,,Barcelona,1,1,1995,50.8
903442,Europe,Spain,,Barcelona,1,2,1995,44.5
903443,Europe,Spain,,Barcelona,1,3,1995,41.0
903444,Europe,Spain,,Barcelona,1,4,1995,39.2
903445,Europe,Spain,,Barcelona,1,5,1995,39.8
903446,Europe,Spain,,Barcelona,1,6,1995,45.2
903447,Europe,Spain,,Barcelona,1,7,1995,44.8
903448,Europe,Spain,,Barcelona,1,8,1995,42.4
903449,Europe,Spain,,Barcelona,1,9,1995,50.2
903450,Europe,Spain,,Barcelona,1,10,1995,51.1
903451,Europe,Spain,,Barcelona,1,11,1995,55.8
903452,Europe,Spain,,Barcelona,1,12,1995,50.8
903453,Europe,Spain,,Barcelona,1,13,1995,47.7
903454,Europe,Spain,,Barcelona,1,14,1995,42.3
903455,Europe,Spain,,Barcelona,1,15,1995,42.8
903456,Europe,Spain,,Barcelona,1,16,1995,46.0
903457,Europe,Spain,,Barcelona,1,17,1995,54.9
903458,Europe,Spain,,Barcelona,1,18,1995,54.4
903459,Europe,Spain,,Barcelona,1,19,1995,50.1
903460,Europe,Spain,,Barcelona,1,20,1995,49.7
903461,Europe,Spain,,Barcelona,1,21,1995,48.4
903462,Europe,Spain,,Barcelona,1,22,1995,55.5
903463,Europe,Spain,,Barcelona,1,23,1995,59.7
903464,Europe,Spain,,Barcelona,1,24,1995,56.2
903465,Europe,Spain,,Barcelona,1,25,1995,57.9
903466,Europe,Spain,,Barcelona,1,26,1995,58.7
903467,Europe,Spain,,Barcelona,1,27,1995,52.6
903468,Europe,Spain,,Barcelona,1,28,1995,54.9
903469,Europe,Spain,,Barcelona,1,29,1995,54.0
903470,Europe,Spain,,Barcelona,1,30,1995,58.6
903471,Europe,Spain,,Barcelona,1,31,1995,52.3
903472,Europe,Spain,,Barcelona,2,1,1995,50.2
903473,Europe,Spain,,Barcelona,2,2,1995,51.3
903474,Europe,Spain,,Barcelona,2,3,1995,50.5
903475,Europe,Spain,,Barcelona,2,4,1995,49.7
903476,Europe,Spain,,Barcelona,2,5,1995,53.3
903477,Europe,Spain,,Barcelona,2,6,1995,52.2
903478,Europe,Spain,,Barcelona,2,7,1995,50.1
903479,Europe,Spain,,Barcelona,2,8,1995,56.3
903480,Europe,Spain,,Barcelona,2,9,1995,55.5
903481,Europe,Spain,,Barcelona,2,10,1995,51.9
903482,Europe,Spain,,Barcelona,2,11,1995,53.9
903483,Europe,Spain,,Barcelona,2,12,1995,54.6
903484,Europe,Spain,,Barcelona,2,13,1995,53.5
903485,Europe,Spain,,Barcelona,2,14,1995,59.2
903486,Europe,Spain,,Barcelona,2,15,1995,56.6
903487,Europe,Spain,,Barcelona,2,16,1995,57.4
903488,Europe,Spain,,Barcelona,2,17,1995,56.7
903489,Europe,Spain,,Barcelona,2,18,1995,56.5
903490,Europe,Spain,,Barcelona,2,19,1995,52.2
903491,Europe,Spain,,Barcelona,2,20,1995,51.9
903492,Europe,Spain,,Barcelona,2,21,1995,52.8
903493,Europe,Spain,,Barcelona,2,22,1995,50.8
903494,Europe,Spain,,Barcelona,2,23,1995,49.3
903495,Europe,Spain,,Barcelona,2,24,1995,60.8
903496,Europe,Spain,,Barcelona,2,25,1995,65.3
903497,Europe,Spain,,Barcelona,2,26,1995,55.4
903498,Europe,Spain,,Barcelona,2,27,1995,47.6
903499,Europe,Spain,,Barcelona,2,28,1995,49.3
903500,Europe,Spain,,Barcelona,3,1,1995,50.7
903501,Europe,Spain,,Barcelona,3,2,1995,51.7
903502,Europe,Spain,,Barcelona,3,3,1995,55.2
903503,Europe,Spain,,Barcelona,3,4,1995,49.7
903504,Europe,Spain,,Barcelona,3,5,1995,50.7
903505,Europe,Spain,,Barcelona,3,6,1995,55.5
903506,Europe,Spain,,Barcelona,3,7,1995,50.4
903507,Europe,Spain,,Barcelona,3,8,1995,52.5
903508,Europe,Spain,,Barcelona,3,9,1995,49.2
903509,Europe,Spain,,Barcelona,3,10,1995,51.7
903510,Europe,Spain,,Barcelona,3,11,1995,55.9
903511,Europe,Spain,,Barcelona,3,12,1995,56.3
903512,Europe,Spain,,Barcelona,3,13,1995,56.2
903513,Europe,Spain,,Barcelona,3,14,1995,53.4
903514,Europe,Spain,,Barcelona,3,15,1995,52.0
903515,Europe,Spain,,Barcelona,3,16,1995,53.8
903516,Europe,Spain,,Barcelona,3,17,1995,54.6
903517,Europe,Spain,,Barcelona,3,18,1995,53.1
903518,Europe,Spain,,Barcelona,3,19,1995,52.4
903519,Europe,Spain,,Barcelona,3,20,1995,56.3
903520,Europe,Spain,,Barcelona,3,21,1995,54.6
903521,Europe,Spain,,Barcelona,3,22,1995,50.5
903522,Europe,Spain,,Barcelona,3,23,1995,52.0
903523,Europe,Spain,,Barcelona,3,24,1995,53.2
903524,Europe,Spain,,Barcelona,3,25,1995,52.9
903525,Europe,Spain,,Barcelona,3,26,1995,53.6
903526,Europe,Spain,,Barcelona,3,27,1995,55.7
903527,Europe,Spain,,Barcelona,3,28,1995,55.1
903528,Europe,Spain,,Barcelona,3,29,1995,57.5
903529,Europe,Spain,,Barcelona,3,30,1995,52.2
903530,Europe,Spain,,Barcelona,3,31,1995,51.1
903531,Europe,Spain,,Barcelona,4,1,1995,54.5
903532,Europe,Spain,,Barcelona,4,2,1995,58.4
903533,Europe,Spain,,Barcelona,4,3,1995,56.6
903534,Europe,Spain,,Barcelona,4,4,1995,55.3
903535,Europe,Spain,,Barcelona,4,5,1995,53.2
903536,Europe,Spain,,Barcelona,4,6,1995,54.9
903537,Europe,Spain,,Barcelona,4,7,1995,59.7
903538,Europe,Spain,,Barcelona,4,8,1995,62.1
903539,Europe,Spain,,Barcelona,4,9,1995,58.0
903540,Europe,Spain,,Barcelona,4,10,1995,55.5
903541,Europe,Spain,,Barcelona,4,11,1995,55.8
903542,Europe,Spain,,Barcelona,4,12,1995,57.4
903543,Europe,Spain,,Barcelona,4,13,1995,57.9
903544,Europe,Spain,,Barcelona,4,14,1995,56.9
903545,Europe,Spain,,Barcelona,4,15,1995,56.4
903546,Europe,Spain,,Barcelona,4,16,1995,57.2
903547,Europe,Spain,,Barcelona,4,17,1995,57.3
903548,Europe,Spain,,Barcelona,4,18,1995,58.7
903549,Europe,Spain,,Barcelona,4,19,1995,58.8
903550,Europe,Spain,,Barcelona,4,20,1995,54.8
903551,Europe,Spain,,Barcelona,4,21,1995,53.8
903552,Europe,Spain,,Barcelona,4,22,1995,54.8
903553,Europe,Spain,,Barcelona,4,23,1995,55.1
903554,Europe,Spain,,Barcelona,4,24,1995,53.2
903555,Europe,Spain,,Barcelona,4,25,1995,56.1
903556,Europe,Spain,,Barcelona,4,26,1995,57.4
