,Region,Country,State,City,Month,Day,Year,AvgTemperature
931239,Europe,Sweden,,Stockholm,1,1,1995,31.3
931240,Europe,Sweden,,Stockholm,1,2,1995,30.0
931241,Europe,Sweden,,Stockholm,1,3,1995,17.8
931242,Europe,Sweden,,Stockholm,1,4,1995,22.8
931243,Europe,Sweden,,Stockholm,1,5,1995,24.5
931244,Europe,Sweden,,Stockholm,1,6,1995,26.4
931245,Europe,Sweden,,Stockholm,1,7,1995,20.3
931246,Europe,Sweden,,Stockholm,1,8,1995,28.5
931247,Europe,Sweden,,Stockholm,1,9,1995,31.4
931248,Europe,Sweden,,Stockholm,1,10,1995,34.0
931249,Europe,Sweden,,Stockholm,1,11,1995,30.6
931250,Europe,Sweden,,Stockholm,1,12,1995,28.8
931251,Europe,Sweden,,Stockholm,1,13,1995,19.6
931252,Europe,Sweden,,Stockholm,1,14,1995,34.7
931253,Europe,Sweden,,Stockholm,1,15,1995,32.8
931254,Europe,Sweden,,Stockholm,1,16,1995,34.5
931255,Europe,Sweden,,Stockholm,1,17,1995,37.0
931256,Europe,Sweden,,Stockholm,1,18,1995,36.7
931257,Europe,Sweden,,Stockholm,1,19,1995,31.9
931258,Europe,Sweden,,Stockholm,1,20,1995,33.4
931259,Europe,Sweden,,Stockholm,1,21,1995,32.3
931260,Europe,Sweden,,Stockholm,1,22,1995,33.6
931261,Europe,Sweden,,Stockholm,1,23,1995,32.1
931262,Europe,Sweden,,Stockholm,1,24,1995,27.0
931263,Europe,Sweden,,Stockholm,1,25,1995,27.4
931264,Europe,Sweden,,Stockholm,1,26,1995,24.3
931265,Europe,Sweden,,Stockholm,1,27,1995,20.5
931266,Europe,Sweden,,Stockholm,1,28,1995,15.7
931267,Europe,Sweden,,Stockholm,1,29,1995,22.1
931268,Europe,Sweden,,Stockholm,1,30,1995,18.3
931269,Europe,Sweden,,Stockholm,1,31,1995,16.6
931270,Europe,Sweden,,Stockholm,2,1,1995,35.6
931271,Europe,Sweden,,Stockholm,2,2,1995,34.3
931272,Europe,Sweden,,Stockholm,2,3,1995,29.6
931273,Europe,Sweden,,Stockholm,2,4,1995,39.4
931274,Europe,Sweden,,Stockholm,2,5,1995,34.3
931275,Europe,Sweden,,Stockholm,2,6,1995,40.3
931276,Europe,Sweden,,Stockholm,2,7,1995,28.5
931277,Europe,Sweden,,Stockholm,2,8,1995,21.2
931278,Europe,Sweden,,Stockholm,2,9,1995,22.8
931279,Europe,Sweden,,Stockholm,2,10,1995,25.5
931280,Europe,Sweden,,Stockholm,2,11,1995,20.2
931281,Europe,Sweden,,Stockholm,2,12,1995,28.2
931282,Europe,Sweden,,Stockholm,2,13,1995,39.0
931283,Europe,Sweden,,Stockholm,2,14,1995,37.4
931284,Europe,Sweden,,Stockholm,2,15,1995,36.4
931285,Europe,Sweden,,Stockholm,2,16,1995,37.6
931286,Europe,Sweden,,Stockholm,2,17,1995,36.3
931287,Europe,Sweden,,Stockholm,2,18,1995,34.1
931288,Europe,Sweden,,Stockholm,2,19,1995,33.5
931289,Europe,Sweden,,Stockholm,2,20,1995,38.2
931290,Europe,Sweden,,Stockholm,2,21,1995,34.3
931291,Europe,Sweden,,Stockholm,2,22,1995,34.5
931292,Europe,Sweden,,Stockholm,2,23,1995,38.0
931293,Europe,Sweden,,Stockholm,2,24,1995,36.0
931294,Europe,Sweden,,Stockholm,2,25,1995,31.7
931295,Europe,Sweden,,Stockholm,2,26,1995,29.9
931296,Europe,Sweden,,Stockholm,2,27,1995,27.8
931297,Europe,Sweden,,Stockholm,2,28,1995,39.6
931298,Europe,Sweden,,Stockholm,3,1,1995,40.0
931299,Europe,Sweden,,Stockholm,3,2,1995,35.1
