,Region,Country,State,City,Month,Day,Year,AvgTemperature
940505,Europe,Switzerland,,Bern,1,1,1995,35.4
940506,Europe,Switzerland,,Bern,1,2,1995,27.8
940507,Europe,Switzerland,,Bern,1,3,1995,24.8
940508,Europe,Switzerland,,Bern,1,4,1995,17.8
940509,Europe,Switzerland,,Bern,1,5,1995,9.3
940510,Europe,Switzerland,,Bern,1,6,1995,18.4
940511,Europe,Switzerland,,Bern,1,7,1995,26.0
940512,Europe,Switzerland,,Bern,1,8,1995,29.0
940513,Europe,Switzerland,,Bern,1,9,1995,30.2
940514,Europe,Switzerland,,Bern,1,10,1995,38.1
940515,Europe,Switzerland,,Bern,1,11,1995,37.1
940516,Europe,Switzerland,,Bern,1,12,1995,31.9
940517,Europe,Switzerland,,Bern,1,13,1995,23.4
940518,Europe,Switzerland,,Bern,1,14,1995,16.6
940519,Europe,Switzerland,,Bern,1,15,1995,22.9
940520,Europe,Switzerland,,Bern,1,16,1995,21.2
940521,Europe,Switzerland,,Bern,1,17,1995,23.8
940522,Europe,Switzerland,,Bern,1,18,1995,28.6
940523,Europe,Switzerland,,Bern,1,19,1995,35.2
940524,Europe,Switzerland,,Bern,1,20,1995,32.3
940525,Europe,Switzerland,,Bern,1,21,1995,34.4
940526,Europe,Switzerland,,Bern,1,22,1995,39.3
940527,Europe,Switzerland,,Bern,1,23,1995,45.0
940528,Europe,Switzerland,,Bern,1,24,1995,38.2
940529,Europe,Switzerland,,Bern,1,25,1995,48.5
940530,Europe,Switzerland,,Bern,1,26,1995,42.7
940531,Europe,Switzerland,,Bern,1,27,1995,35.0
940532,Europe,Switzerland,,Bern,1,28,1995,44.6
940533,Europe,Switzerland,,Bern,1,29,1995,45.2
940534,Europe,Switzerland,,Bern,1,30,1995,43.0
940535,Europe,Switzerland,,Bern,1,31,1995,34.5
940536,Europe,Switzerland,,Bern,2,1,1995,36.3
940537,Europe,Switzerland,,Bern,2,2,1995,36.2
940538,Europe,Switzerland,,Bern,2,3,1995,39.1
