,Region,Country,State,City,Month,Day,Year,AvgTemperature
977569,Europe,United Kingdom,,Belfast,1,1,1995,34.7
977570,Europe,United Kingdom,,Belfast,1,2,1995,36.9
977571,Europe,United Kingdom,,Belfast,1,3,1995,40.0
977572,Europe,United Kingdom,,Belfast,1,4,1995,46.3
977573,Europe,United Kingdom,,Belfast,1,5,1995,48.6
977574,Europe,United Kingdom,,Belfast,1,6,1995,40.9
977575,Europe,United Kingdom,,Belfast,1,7,1995,51.0
977576,Europe,United Kingdom,,Belfast,1,8,1995,43.4
977577,Europe,United Kingdom,,Belfast,1,9,1995,49.5
977578,Europe,United Kingdom,,Belfast,1,10,1995,49.1
977579,Europe,United Kingdom,,Belfast,1,11,1995,41.0
977580,Europe,United Kingdom,,Belfast,1,12,1995,38.7
977581,Europe,United Kingdom,,Belfast,1,13,1995,49.0
977582,Europe,United Kingdom,,Belfast,1,14,1995,47.9
977583,Europe,United Kingdom,,Belfast,1,15,1995,49.9
977584,Europe,United Kingdom,,Belfast,1,16,1995,44.2
977585,Europe,United Kingdom,,Belfast,1,17,1995,43.7
977586,Europe,United Kingdom,,Belfast,1,18,1995,39.1
977587,Europe,United Kingdom,,Belfast,1,19,1995,36.6
977588,Europe,United Kingdom,,Belfast,1,20,1995,38.2
977589,Europe,United Kingdom,,Belfast,1,21,1995,41.2
977590,Europe,United Kingdom,,Belfast,1,22,1995,36.7
977591,Europe,United Kingdom,,Belfast,1,23,1995,43.0
977592,Europe,United Kingdom,,Belfast,1,24,1995,39.9
977593,Europe,United Kingdom,,Belfast,1,25,1995,37.2
977594,Europe,United Kingdom,,Belfast,1,26,1995,39.1
977595,Europe,United Kingdom,,Belfast,1,27,1995,39.6
977596,Europe,United Kingdom,,Belfast,1,28,1995,43.9
977597,Europe,United Kingdom,,Belfast,1,29,1995,40.9
977598,Europe,United Kingdom,,Belfast,1,30,1995,38.5
977599,Europe,United Kingdom,,Belfast,1,31,1995,50.1
977600,Europe,United Kingdom,,Belfast,2,1,1995,44.2
977601,Europe,United Kingdom,,Belfast,2,2,1995,43.1
977602,Europe,United Kingdom,,Belfast,2,3,1995,50.0
977603,Europe,United Kingdom,,Belfast,2,4,1995,49.1
