,Country,Numbers
0,World,8037237000
1,China,1411750000
2,India,1392329000
3,United States,334920000
4,Indonesia,277749853
5,Pakistan,220425254
6,Nigeria,218541000
7,Brazil,216301858
8,Bangladesh,169828911
9,Russia,146424729
10,Mexico,128665641
11,Japan,124500000
12,Philippines,110587187
13,Ethiopia,105163988
14,Egypt,104963657
15,Vietnam,99460000
16,DR Congo,99010000
17,Iran,86539427
18,Turkey,85279553
19,Germany,84270625
20,France,68042591
21,United Kingdom,67026292
22,Thailand,65990240
23,Tanzania,61741120
24,South Africa,60604992
25,Italy,58803163
26,Myanmar,55770232
27,Colombia,52215503
28,South Korea,51439038
29,Spain,48196693
30,Kenya,47564296
31,Argentina,46044703
32,Algeria,45400000
33,Sudan,45491900
34,Uganda,42885900
35,Iraq,41190700
36,Ukraine,41130432
37,Canada,40018311
38,Poland,37726000
39,Morocco,36990720
40,Uzbekistan,36290040
41,Saudi Arabia,34110821
42,Yemen,33697000
43,Peru,33396698
44,Angola,33086278
45,Malaysia,33044300
46,Afghanistan,32890171
47,Mozambique,32419747
48,Ghana,30832019
49,Ivory Coast,29389150
50,Nepal,29164578
51,Venezuela,28302000
52,Madagascar,26923353
53,Australia,26540413
54,North Korea,25660000
55,Cameroon,24348251
56,Niger,24112753
57,Taiwan,23347374
58,Mali,22594000
59,Burkina Faso,22185654
60,Sri Lanka,22181000
61,Syria,22125000
62,Malawi,21507723
63,Chile,19960889
64,Kazakhstan,19883340
65,Zambia,19610769
66,Romania,19053815
67,Ecuador,18317539
68,Netherlands,17881190
69,Somalia,17598000
70,Senegal,17223497
71,Guatemala,17109746
72,Chad,16818391
73,Cambodia,15552211
74,Zimbabwe,15178979
75,Guinea,13261638
76,South Sudan,13249924
77,Rwanda,13246394
78,Burundi,12837740
79,Benin,12606998
80,Bolivia,12006031
81,Tunisia,11803588
82,Belgium,11755313
83,Haiti,11743017
84,Jordan,11419442
85,Cuba,11089511
86,Czech Republic,10827529
87,Sweden,10538026
88,Dominican Republic,10535535
89,Greece,10482487
90,Portugal,10467366
91,Azerbaijan,10135373
92,Israel,9739040
93,Hungary,9678000
94,Honduras,9546178
95,Tajikistan,9506000
96,United Arab Emirates,9282410
97,Belarus,9200617
98,Papua New Guinea,9122994
99,Austria,9120091
100,Switzerland,8865270
101,Sierra Leone,8494260
102,Togo,8095498
103,Paraguay,7453695
104,Laos,7337783
105,Hong Kong (China),7333200
106,Kyrgyzstan,7100000
107,El Salvador,6884888
108,Libya,6812000
109,Serbia,6647003
110,Nicaragua,6595674
111,Bulgaria,6447710
112,Turkmenistan,6431000
113,Congo,5970000
114,Denmark,5941388
115,Central African Republic,5633412
116,Finland,5541016
117,Norway,5504329
118,Lebanon,5490000
119,Palestine,5483450
120,Singapore,5453600
121,Slovakia,5428792
122,New Zealand,5218910
123,Costa Rica,5213362
124,Ireland,5149139
125,Oman,5035658
126,Kuwait,4670713
127,Liberia,4661010
128,Mauritania,4372037
129,Panama,4278500
130,Croatia,3871833
131,Georgia,3736400
132,Eritrea,3684000
133,Uruguay,3554915
134,Mongolia,3457548
135,Bosnia and Herzegovina,3277082
136,Puerto Rico (United States),3221789
137,Qatar,3005069
138,Armenia,2981200
139,Lithuania,2862274
140,Jamaica,2825544
141,Albania,2793592
142,Moldova,2604000
143,Namibia,2596037
144,Gambia,2417471
145,Botswana,2410338
146,Lesotho,2306000
147,Gabon,2233272
148,Slovenia,2116972
149,Latvia,1885400
150,North Macedonia,1832696
151,Kosovo,1798188
152,Guinea-Bissau,1667864
153,Equatorial Guinea,1558160
154,Bahrain,1501635
155,Estonia,1365884
156,Trinidad and Tobago,1365805
157,East Timor,1336222
158,Mauritius,1261196
159,Eswatini,1202000
160,Djibouti,1001454
161,Cyprus,918100
162,Fiji,893468
163,Bhutan,763200
164,Comoros,758316
165,Guyana,743699
166,Solomon Islands,728041
167,Macau (China),673600
168,Luxembourg,660809
169,Montenegro,617683
170,Suriname,616500
171,Western Sahara,576000
172,Cape Verde,569509
173,Malta,519562
174,Belize,441471
175,Brunei,440715
176,Maldives,397372
177,Bahamas,397360
178,Iceland,390830
179,Northern Cyprus,382836
180,Transnistria,360938
181,Vanuatu,301295
182,French Polynesia (France),279890
183,New Caledonia (France),273674
184,Barbados,267800
185,Abkhazia,245424
186,São Tomé and Príncipe,214610
187,Samoa,205557
188,Saint Lucia,178696
189,Guam (United States),153836
190,Curaçao (Netherlands),148925
191,Artsakh,148900
192,Grenada,125000
193,Kiribati,120740
194,Saint Vincent and the Grenadines,110696
195,Jersey (British Crown Dependency),107800
196,Aruba (Netherlands),106739
197,Micronesia,105754
198,Antigua and Barbuda,100772
199,Seychelles,100447
200,Tonga,100179
201,U.S. Virgin Islands (United States),87146
202,Isle of Man (British Crown Dependency),84069
203,Andorra,82623
