,date,currency,value
0,17/12/2021,ZAR,17.916108
1,18/12/2021,ZAR,17.895601
2,19/12/2021,ZAR,17.895601
3,20/12/2021,ZAR,17.924248
4,21/12/2021,ZAR,17.822899
5,22/12/2021,ZAR,17.911698
6,23/12/2021,ZAR,17.828911
7,24/12/2021,ZAR,17.741953
8,25/12/2021,ZAR,17.667689
9,26/12/2021,ZAR,17.667689
10,27/12/2021,ZAR,17.59957
11,28/12/2021,ZAR,17.609473
12,29/12/2021,ZAR,17.839406
13,30/12/2021,ZAR,18.085269
14,31/12/2021,ZAR,18.027489
15,01/01/2022,ZAR,18.138658
16,02/01/2022,ZAR,18.138658
17,03/01/2022,ZAR,18.115972
18,04/01/2022,ZAR,17.914262
19,05/01/2022,ZAR,18.106954
20,06/01/2022,ZAR,18.011648
21,07/01/2022,ZAR,17.759945
22,08/01/2022,ZAR,17.704592
23,09/01/2022,ZAR,17.715726
24,10/01/2022,ZAR,17.665621
25,11/01/2022,ZAR,17.753477
26,12/01/2022,ZAR,17.630139
27,13/01/2022,ZAR,17.51358
28,14/01/2022,ZAR,17.706053
29,15/01/2022,ZAR,17.551569
30,16/01/2022,ZAR,17.551569
31,17/01/2022,ZAR,17.561655
32,18/01/2022,ZAR,17.561582
33,19/01/2022,ZAR,17.553842
34,20/01/2022,ZAR,17.409416
35,21/01/2022,ZAR,17.26468
36,22/01/2022,ZAR,17.132052
37,23/01/2022,ZAR,17.132052
38,24/01/2022,ZAR,17.120165
39,25/01/2022,ZAR,17.298159
40,26/01/2022,ZAR,17.262956
41,27/01/2022,ZAR,17.271355
42,28/01/2022,ZAR,17.210076
43,29/01/2022,ZAR,17.383279
44,30/01/2022,ZAR,17.383279
45,31/01/2022,ZAR,17.394856
46,01/02/2022,ZAR,17.29135
47,01/02/2022,ZAR,17.276881
48,02/02/2022,ZAR,17.215732
49,03/02/2022,ZAR,17.383082
50,04/02/2022,ZAR,17.460699
51,05/02/2022,ZAR,17.701165
52,06/02/2022,ZAR,17.701165
53,07/02/2022,ZAR,17.705842
54,08/02/2022,ZAR,17.713942
55,09/02/2022,ZAR,17.53298
56,10/02/2022,ZAR,17.371559
57,11/02/2022,ZAR,17.306799
58,12/02/2022,ZAR,17.267983
59,13/02/2022,ZAR,17.270026
60,14/02/2022,ZAR,17.302887
61,15/02/2022,ZAR,17.072372
62,16/02/2022,ZAR,17.157052
63,17/02/2022,ZAR,17.086488
64,18/02/2022,ZAR,17.039401
65,19/02/2022,ZAR,17.115527
66,20/02/2022,ZAR,17.115527
67,21/02/2022,ZAR,17.144588
68,22/02/2022,ZAR,17.159903
69,23/02/2022,ZAR,17.073041
70,24/02/2022,ZAR,17.097004
71,25/02/2022,ZAR,17.193759
72,26/02/2022,ZAR,17.060219
73,27/02/2022,ZAR,17.075905
74,28/02/2022,ZAR,17.14383
75,01/03/2022,ZAR,17.255486
76,02/03/2022,ZAR,17.125103
77,03/03/2022,ZAR,17.08151
78,04/03/2022,ZAR,16.804766
79,05/03/2022,ZAR,16.879778
80,06/03/2022,ZAR,16.92462
81,07/03/2022,ZAR,16.675996
82,08/03/2022,ZAR,16.670668
83,09/03/2022,ZAR,16.684977
84,10/03/2022,ZAR,16.656741
85,11/03/2022,ZAR,16.579459
86,12/03/2022,ZAR,16.418269
87,13/03/2022,ZAR,16.418269
88,14/03/2022,ZAR,16.422751
89,15/03/2022,ZAR,16.583274
90,16/03/2022,ZAR,16.584664
91,17/03/2022,ZAR,16.471095
92,18/03/2022,ZAR,16.589399
93,19/03/2022,ZAR,16.434026
94,20/03/2022,ZAR,16.434026
95,21/03/2022,ZAR,16.534228
96,22/03/2022,ZAR,16.436092
97,23/03/2022,ZAR,16.33241
98,24/03/2022,ZAR,16.247376
99,25/03/2022,ZAR,15.98039
100,26/03/2022,ZAR,15.868399
101,27/03/2022,ZAR,16.011179
102,28/03/2022,ZAR,16.110203
103,28/03/2022,ZAR,16.158236
104,29/03/2022,ZAR,16.124979
105,30/03/2022,ZAR,16.157822
106,31/03/2022,ZAR,16.219657
107,01/04/2022,ZAR,16.207475
108,02/04/2022,ZAR,16.140486
109,03/04/2022,ZAR,16.140534
110,04/04/2022,ZAR,16.002888
111,05/04/2022,ZAR,16.004732
112,06/04/2022,ZAR,16.012764
113,07/04/2022,ZAR,16.017935
114,08/04/2022,ZAR,16.026255
